"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"CUMV",TRUE,2,"Achiridae","Trinectes maculatus","Pamlico Sound at mouth of Adams Cr.",,34.961977,-76.685966,"NC","7/21/1959","BJR 142",
"CUMV",TRUE,5,"Achiridae","Trinectes maculatus","Beaufort; Newport R.",,34.720961,-76.691477,"NC","7/30/1913","FH 13JUL30",
"CUMV",TRUE,2,"Achiridae","Trinectes maculatus","Bogue Sound, off mouth of Peletier Cr. to 1 mi. SW of Morehead City",,34.723543,-76.780871,"NC","7/20/1956","CFC 295",
"CUMV",TRUE,2,"Achiridae","Trinectes maculatus","Bogue Sound, S of Peletier Cr. in main channel at Morehead City",,34.721939,-76.787634,"NC","7/5/1956","CFC 289",
"CUMV",TRUE,1,"Achiridae","Trinectes maculatus","Pamlico Sound at mouth of Bay R.",,35.166561,-76.535627,"NC","7/15/1959","EED NC-500",
"CUMV",TRUE,1,"Achiridae","Trinectes maculatus","Pamlico Sound at mouth of Bay R.",,35.166561,-76.535627,"NC","7/15/1959","EED NC-500",
"INHS",TRUE,1,"Achiridae","Trinectes maculatus","swamp, Godfrey Banch, 1 mi NW Peletier",,34.744124,-77.104455,"NC","9/2/1964","",
"KU",TRUE,1,"Achiridae","Trinectes maculatus","at Atlantic Beach",,34.702179,-76.740963,"NC","10/29/1947","",
"KU",TRUE,2,"Achiridae","Trinectes maculatus","White Oak R., White Oak River at Stella",,34.7741667,-77.1508333,"NC","8/23/1967","",
"NCDMF",,1,"Achiridae","Trinectes maculatus","FARNELL BAY",,34.65194,-77.36139,"NC","000426","1201020200",
"NCDMF",,13,"Achiridae","Trinectes maculatus","CC1, WHITE OAK NARROWS",,34.767,-77.145,"NC","000502","1001000100",
"NCDMF",,1,"Achiridae","Trinectes maculatus","G14, HORTON BAY",,34.99,-76.576,"NC","000508","535220600",
"NCDMF",,1,"Achiridae","Trinectes maculatus","GUM PT./GARRISON PT. TO MOUTH",,35.34722,-76.65389,"NC","000509","528000100",
"NCDMF",,3,"Achiridae","Trinectes maculatus","H2, CLUBFOOT CREEK",,34.865,-76.762,"NC","000509","535170000",
"NCDMF",,1,"Achiridae","Trinectes maculatus","NR10, SLOCUM CREEK",,34.954,-76.895,"NC","000509","535150000",
"NCDMF",,1,"Achiridae","Trinectes maculatus","A12, MALLARD CREEK",,35.2996,-76.60137,"NC","000515","528400702",
"NCDMF",,1,"Achiridae","Trinectes maculatus","A2, BETTY CREEK(DOG CREEK)",,35.31783,-76.63667,"NC","000515","528400201",
"NCDMF",,3,"Achiridae","Trinectes maculatus","B10, LONG CREEK",,35.3145,-76.50117,"NC","000516","529010000",
"NCDMF",,2,"Achiridae","Trinectes maculatus","B20, PORPOISE CREEK",,35.26385,-76.50105,"NC","000516","531010000",
"NCDMF",,1,"Achiridae","Trinectes maculatus","AB1, BOX CREEK",,35.407,-76.508,"NC","000517","528030300",
"NCDMF",,11,"Achiridae","Trinectes maculatus","CFR1, CAPE FEAR RIVER, WILMINGTON AND ABOVE",,34.252,-77.968,"NC","000517","1902000000",
"NCDMF",,2,"Achiridae","Trinectes maculatus","D03C, LONG CREEK",,35.1882,-76.64417,"NC","000517","534100100",
"NCDMF",,3,"Achiridae","Trinectes maculatus","D8, DIPPING VAT CREEK",,35.15783,-76.5671,"NC","000517","534210302",
"NCDMF",,1,"Achiridae","Trinectes maculatus","PUR16, SATTERTHWAITE CREEK",,35.429,-76.597,"NC","000517","528063700",
"NCDMF",,4,"Achiridae","Trinectes maculatus","PUR3, BRADLEY GUT",,35.404,-76.596,"NC","000517","528063803",
"NCDMF",,1,"Achiridae","Trinectes maculatus","PUR7, WOOD CREEK",,35.481,-76.541,"NC","000517","528060209",
"NCDMF",,3,"Achiridae","Trinectes maculatus","E15, GREEN CREEK",,35.10932,-76.58575,"NC","000518","535031100",
