"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AUM","1557","5","Acipenseridae","Acipenser oxyrinchus","Albemarle Sound - North Atlantic Ocean, Roanoke R., at Jamesville","Martin",35.813521,-76.895341,"NC","25099","","Wellborn,  et al"
"NCDMF","","2","Acipenseridae","Acipenser oxyrinchus","STETSON CHANNEL","",35.79806,-75.60778,"NC","100505","400030000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","THE CAT","",35.78083,-75.6025,"NC","030501","400050200",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","THE CAT","",35.77111,-75.60778,"NC","050615","400050200",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","THE CAT","",35.77861,-75.60028,"NC","050615","400050200",""
"NCDMF","","2","Acipenseridae","Acipenser oxyrinchus","E. OF BLUFF TO LONG SH./RODAN","",35.34639,-76.10306,"NC","040428","500170100",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","E. OF BLUFF TO LONG SH./RODAN","",35.36528,-76.06806,"NC","040506","500170100",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","HATTERAS ISLAND","",35.60722,-75.52333,"NC","040602","500300100",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CLAM SHOAL","",35.29278,-75.62444,"NC","050510","500300106",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CLAM SHOAL","",35.29333,-75.62472,"NC","050510","500300106",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CLAM SHOAL","",35.28917,-75.62,"NC","060216","500300106",""
"NCDMF","","3","Acipenseridae","Acipenser oxyrinchus","OLD NEW INLET CHANNEL","",35.62472,-75.50472,"NC","070403","500300107",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","OLD NEW INLET CHANNEL","",35.62,-75.51722,"NC","180503","500300107",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","UNCLE JIMMY’S LANDING","",35.59722,-75.49194,"NC","050502","500300109",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","UNCLE JIMMY’S LANDING","",35.62,-75.52944,"NC","060510","500300109",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","UNCLE JIMMY’S LANDING","",35.55667,-75.48833,"NC","080430","500300109",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CLARKS BAY","",35.53472,-75.52861,"NC","051108","500300110",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CLARKS BAY","",35.5,-75.48972,"NC","180418","500300110",""
"NCDMF","","2","Acipenseridae","Acipenser oxyrinchus","OLIVERS REEF","",35.265,-75.72111,"NC","060419","500300113",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","JACK SHOAL","",35.68806,-75.5625,"NC","051115","500300115",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","EAGLE NEST BAY","",35.70611,-75.55389,"NC","080418","500300118",""
"NCDMF","","3","Acipenseridae","Acipenser oxyrinchus","LTL KINN. TO GULL SH.","",35.39222,-75.50306,"NC","050524","500300121",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","LTL KINN. TO GULL SH.","",35.40139,-75.515,"NC","060405","500300121",""
"NCDMF","","3","Acipenseridae","Acipenser oxyrinchus","LTL KINN. TO GULL SH.","",35.40778,-75.50694,"NC","060425","500300121",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","LTL KINN. TO GULL SH.","",35.43722,-75.52,"NC","160309","500300121",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","OFF AVON HARBOR","",35.39444,-75.55583,"NC","020417","500300122",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","BUXTON/AVON REEF","",35.34083,-75.56889,"NC","071129","500300124",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","ROLLINSON’S CHANNEL","",35.24889,-75.71111,"NC","060419","500300128",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","ROLLINSON’S CHANNEL","",35.26528,-75.71,"NC","100429","500300128",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","LEGGED LUMP","",35.21306,-75.81556,"NC","070410","500300202",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","BIGFOOT SLOUGH","",35.14833,-76.01389,"NC","050322","500300203",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","BIGFOOT SLOUGH","",35.13972,-76.01,"NC","050811","500300203",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","OFF PORTSMOUTH ISLAND","",35.05833,-76.10194,"NC","051130","500350000",""
"NCDMF","","2","Acipenseridae","Acipenser oxyrinchus","OFF PORTSMOUTH ISLAND","",35.05528,-76.12333,"NC","060411","500350000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","STUMPY POINT BAY","",35.68556,-75.76222,"NC","150902","501000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","STUMPY POINT BAY","",35.67722,-75.76056,"NC","160923","501000000",""
"NCDMF","","2","Acipenseridae","Acipenser oxyrinchus","IWW","",35.61611,-75.88,"NC","050811","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.595,-75.88806,"NC","051019","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.6075,-75.86944,"NC","051103","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.59806,-75.88667,"NC","060413","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.61056,-75.87167,"NC","060830","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.6125,-75.87528,"NC","091118","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.61167,-75.87444,"NC","170810","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","IWW","",35.61444,-75.87194,"NC","180320","503000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","WYSOCKING BAY","",35.39861,-76.05944,"NC","050614","514000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","WYSOCKING BAY","",35.41944,-76.03639,"NC","100512","514000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","EAST BLUFF BAY","",35.35056,-76.13417,"NC","050718","518000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","JUNIPER BAY","",35.38167,-76.25389,"NC","120829","521000000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","CAFFEE BAY","",35.36361,-76.30111,"NC","040819","522010000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","GERMANTOWN BAY","",35.41083,-76.45778,"NC","051020","527020000",""
"NCDMF","","1","Acipenseridae","Acipenser oxyrinchus","GUM PT./GARRISON PT. TO MOUTH","",35.35694,-76.465,"NC","040805","528000100",""
