"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"USNM","53040",3,"Amblyopsidae","Chologaster cornuta","Ellis Lake","Craven",34.848451,-77.000176,"NC","2001","","Brimley, C. S."
"CUMV","5789",3,"Amblyopsidae","Chologaster cornuta","Ellis Lake","Craven",34.848451,-77.000176,"NC","2324","Z5789","Brimley Bros."
"USNM","126813",1,"Amblyopsidae","Chologaster cornuta","Wilmington (arbitrarily mapped)","New Hanover",34.225726,-77.94471,"NC","6208","",""
"CUMV","4089",5,"Amblyopsidae","Chologaster cornuta","Burnt Coat Swamp, N of Wilmington","Brunswick",36.248335,-77.728333,"NC","12473","AHW 34FEB23B","Albert Wright;  Anna Wright"
"CUMV","4088",3,"Amblyopsidae","Chologaster cornuta","Rt. 17, just S of Wilmington","Brunswick",34.237499,-77.921311,"NC","12474","AHW 34FEB24B","Albert Wright;  Anna Wright"
"CUMV","9893",2,"Amblyopsidae","Chologaster cornuta","Trib. at Sunbury on Rt. 32","Gates",36.436194,-76.610689,"NC","15064","ECR 0954","Roman Pfeiffer;  Ernest Lachner;  Edward Raney"
"CUMV","19234",1,"Amblyopsidae","Chologaster cornuta","Mingo Swamp Bridge just E of Dunn on Rt. 55 (Harnett/Sampson Co. line)","Harnett",35.297832,-78.57242,"NC","17347","EEB 47-44","E. Brown"
"CUMV","22337",1,"Amblyopsidae","Chologaster cornuta","Trib. of Roquist Cr., 9.7 mi. SE of Lewiston on Rt. 308","Bertie",36.05295,-77.046707,"NC","17984","ECR 49MAR27","Edward Raney;  Royal Suttkus;  Howard Evans;  Robert Roecker"
"CUMV","19471",1,"Amblyopsidae","Chologaster cornuta","Trib. of Aberdeen Cr., 0.2 mi. S of Aberdeen on US 1","Moore",35.127972,-79.432152,"NC","18716","ECR 1945","Edward Raney;  Richard Backus;  Charles Robins;  J. Layne; et al."
"CUMV","19584",1,"Amblyopsidae","Chologaster cornuta","Trib. of Drowning Cr., 2.5 mi. S of Hoffman in Sand Hills Game Preserve","Scotland",35.003087,-79.537887,"NC","18716","ECR 1942","Edward Raney;  Richard Backus;  Charles Robins;  J. Layne; et al."
"CUMV","19771",2,"Amblyopsidae","Chologaster cornuta","Aberdeen Cr., below dam in Aberdeen on US 1","Moore",35.127972,-79.432152,"NC","18716","ECR 1944","Edward Raney;  Richard Backus;  Charles Robins;  J. Layne; et al."
