"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"ANSP",199210,1,"Amiidae","Amia calva","Lake Phelps.","Washington",35.789392,-76.411596,"NC","8/10/1972","B72-3","R. Bailey, J.G. Lundberg & Gatz"
"CAS",66858,1,"Amiidae","Amia calva","White Marsh Swamp, Approx. 5 miles south of Hallsboro.","Columbus",34.25409,-78.604738,"NC","7/1/1968","","W.C. Freihofer, J. Davis et al"
"CUMV",11508,2,"Amiidae","Amia calva","Small stream 1.5 mi. E of Whiteville","Columbus",34.349763,-78.671272,"NC","6/26/1946","ECR 1198","Edward Raney;  Ernest Lachner;  Robert Ross"
"CUMV",15641,1,"Amiidae","Amia calva","White Lake","Bladen",34.643514,-78.498492,"NC","8/18/1947","EH 061","E. Hueske; North Carolina Lake Survey"
"CUMV",31927,1,"Amiidae","Amia calva","Lake Waccamaw","Columbus",34.287784,-78.511122,"NC","8/21/1958","DEL 58AUG21","D. Louder"
"CUMV",34708,1,"Amiidae","Amia calva","Trib. of Big Swamp R., 5.3 mi. N of Bladenboro on NC 401 & 131","Bladen",34.609511,-78.755913,"NC","9/18/1959","BBC 562","Bruce Collette;  J. Ramsey"
"FMNH",104040,4,"Amiidae","Amia calva","Sweetwater Creek, near Williamston NC, where Rte 64 crosses Sweetwater Creek","Martin",35.837885,-77.044431,"NC","7/4/1992","","M. W. Westneat"
"FMNH",104041,2,"Amiidae","Amia calva","Sweetwater Creek, near Williamston NC, where Rte 64 crosses Sweetwater Creek","Martin",35.837885,-77.044431,"NC","7/4/1992","","M. W. Westneat"
"FMNH",104042,2,"Amiidae","Amia calva","Sweetwater Creek, near Williamston NC, where Rte 64 crosses Sweetwater Creek","Martin",35.837885,-77.044431,"NC","7/4/1992","","M. W. Westneat"
"FMNH",121171,2,"Amiidae","Amia calva","Sweetwater Creek, near Williamston NC, where Rte 64 crosses Sweetwater Creek","Martin",35.837885,-77.044431,"NC","7/4/1992","","M. W. Westneat"
"NCDMF",,1,"Amiidae","Amia calva","STUMPY POINT BAY","",35.68583,-75.73861,"NC","040826","501000000",""
"NCDMF",,2,"Amiidae","Amia calva","ROSE BAY","",35.44222,-76.41111,"NC","031119","526000000",""
"NCDMF",,1,"Amiidae","Amia calva","ROSE BAY CREEK","",35.45278,-76.40444,"NC","031007","526030000",""
"NCDMF",,1,"Amiidae","Amia calva","UNNAMED NORTHERN TRIBUTARY","",35.45917,-76.42778,"NC","040617","526080000",""
"NCDMF",,1,"Amiidae","Amia calva","SPENCER BAY","",35.38056,-76.47306,"NC","160301","527000000",""
"NCDMF",,1,"Amiidae","Amia calva","PAMLICO RIVER","",35.45778,-76.86833,"NC","070313","528000000",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.42528,-76.725,"NC","031121","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.39361,-76.71833,"NC","041027","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.34889,-76.67722,"NC","041111","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.41861,-76.6875,"NC","050330","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.42694,-76.73583,"NC","051019","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.34028,-76.65111,"NC","100325","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","GUM PT./GARRISON PT. TO MOUTH","",35.34222,-76.63028,"NC","161019","528000100",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45917,-76.87917,"NC","000106","528000200",""
"NCDMF",,2,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44917,-76.82833,"NC","000302","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42722,-76.87194,"NC","000425","528000200",""
"NCDMF",,2,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.455,-76.86556,"NC","000504","528000200",""
"NCDMF",,6,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45944,-76.8925,"NC","000504","528000200",""
"NCDMF",,4,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.46,-76.89667,"NC","000713","528000200",""
"NCDMF",,2,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.41083,-76.82611,"NC","030926","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.4525,-76.85694,"NC","031204","528000200",""
"NCDMF",,2,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43194,-76.78333,"NC","040302","528000200",""
"NCDMF",,2,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45694,-76.82278,"NC","040519","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45778,-76.87417,"NC","040603","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39083,-76.78111,"NC","041119","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43361,-76.89806,"NC","041207","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42528,-76.8775,"NC","050307","528000200",""
"NCDMF",,3,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43361,-76.90028,"NC","050322","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39667,-76.81,"NC","050324","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39972,-76.80944,"NC","050324","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39139,-76.81639,"NC","050406","528000200",""
"NCDMF",,1,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39444,-76.81583,"NC","050406","528000200",""
"NCDMF",,5,"Amiidae","Amia calva","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45694,-76.82278,"NC","050508","528000200",""
