"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",64767,4,"Anguillidae","Anguilla rostrata","Lake waccamaw, 1.4 miles west of junction of routes 74, 76,214","Columbus",34.31307,-78.54372,"NC","6/29/1969","R.D. ROSS-VPI-2082","R.D. Ross & R.D. Ross"
"AMNH",64774,9,"Anguillidae","Anguilla rostrata","Hunters creek (tributary of white oak river) on county road 1100, ca. 0.5 mile east of junction of route 58","Carteret",34.795768,-77.128145,"NC","6/30/1969","R.D. ROSS-VPI-2087","R.D. Ross & R.D. Ross"
"AMNH",52243,1,"Anguillidae","Anguilla rostrata","Canal 2 miles west of swan quarter, route 264","Hyde",35.431401,-76.3501,"NC","5/19/1982","MNF-NC-82-V-19","M.N. Feinberg"
"AMNH",30122,2,"Anguillidae","Anguilla rostrata","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"AMNH",62805,5,"Anguillidae","Anguilla rostrata","Little river on rt 1144 crossing, a concrete bridge on the pasquotank-perquimans co. line, 2.2 airmiles w of norfolk/southern rr station in pasquotank","Perquimans",36.268333,-76.377579,"NC","6/7/1968","R.D. ROSS-VPI-1334","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",62629,7,"Anguillidae","Anguilla rostrata","Little river, on route 1223 crossing, just above a garbage dump, 2 miles north northwest norfolk and southern railroad crossing in chapanoke","Perquimans",36.282795,-76.385991,"NC","5/23/1968","R.D. ROSS-VPI-1296","R.D. Ross & P.M. Brady"
"AMNH",62609,1,"Anguillidae","Anguilla rostrata","Dismal swamp, ditch (at right angles to) the loop road 1.7 miles east parkville","Pasquotank",36.29373,-76.366572,"NC","5/22/1968","R.D. ROSS-VPI-1294","R.D. Ross"
"AMNH",62633,2,"Anguillidae","Anguilla rostrata","Dismal swamp, ditch (at right angles to) the loop road 1.7 miles east parkville","Pasquotank",36.29373,-76.366572,"NC","5/23/1968","R.D. ROSS-VPI-1297","R.D. Ross & P.M. Brady"
"AMNH",66938,1,"Anguillidae","Anguilla rostrata","Newfoundland Drainage Canal, at junction of routes 158 and 1367, 6-7 miles west of Morgan's Corners","Pasquotank",36.431792,-76.449784,"NC","5/9/1971","R.D. ROSS-VPI-2592","M.T. Masnsik, C. Baker, R.D. Ross & J. Crossman"
"AMNH",62612,1,"Anguillidae","Anguilla rostrata","Pasquotank river swamp, at route 17 bridge, 1.1 mile southwest south mills","Camden",36.433696,-76.338961,"NC","5/23/1968","R.D. ROSS-VPI-1295","R.D. Ross & P.M. Brady"
"AMNH",62598,1,"Anguillidae","Anguilla rostrata","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/22/1968","R.D. ROSS-VPI-1292","R.D. Ross"
"AMNH",62739,1,"Anguillidae","Anguilla rostrata","Folly Swamp on NC 32 crossing","Gates",36.488821,-76.574957,"NC","6/6/1968","R.D. ROSS-VPI-1327","R.D. Ross, R.D. Ross & P.M. Brady"
"ANSP",38046,1,"Anguillidae","Anguilla rostrata","Southport.","Brunswick",33.910801,-78.01338,"NC","1908","HAP08-S-5","Dr. H. A. Pilsbry"
"ANSP",193120,2,"Anguillidae","Anguilla rostrata","Newport River, south shore of river opposite Harlowe Creek, vicinity of Morehead City.","Carteret",34.762465,-76.725898,"NC","6/21/1954","Z193120","C. Broad, W.D. Fisher, H. Rierson"
"ANSP",116384,1,"Anguillidae","Anguilla rostrata","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW  Fayetteville.","Bladen",34.821155,-78.820975,"NC","9/16/1969","CAP69-3","N. R. Foster, E. Jankowski"
"ANSP",116403,2,"Anguillidae","Anguilla rostrata","Cape Fear River, 3 mi SW of Slocomb.","Cumberland",35.141496,-78.851821,"NC","6/4/1970","CAP70-1","N. R. Foster, E. Jankowski"
"ANSP",204745,1,"Anguillidae","Anguilla rostrata","Cape Fear River, E of Lillington","Harnett",35.398423,-78.777941,"NC","6/2/2009","FW08-NC021","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP",197163,2,"Anguillidae","Anguilla rostrata","Swift Creek (Tar Dr.) riffle below Red Oak Rd. bridge (Co. Rt. 1003).","Nash",36.074183,-77.869496,"NC","7/26/2014","MHS-2014-NC-3","M.H. Sabaj, M.C. Sabaj Pérez, M.S. Sabaj Pérez"
"AUM",46245,1,"Anguillidae","Anguilla rostrata","Cape Fear River Drainage, Moore's Creek, State Hwy 210, 1 mi.SW Currie, 0.5 mi behind visitor center","Pender",34.46106,-78.11211,"NC","7/7/2004","","E Johnston, P Cleveland, R Henderson, C Knight, T Wilkes, M Farmer, A Kennon"
"AUM",45728,2,"Anguillidae","Anguilla rostrata","North Atlantic Ocean, marsh pond, 1.0 miles SSE Buxton, Cape Hatteras National Seashore","Dare",35.258,-75.52689,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
