"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",64750,25,"Aphredoderidae","Aphredoderus sayanus","Cape fear river tributary (Brown Marsh Swamp)  on route 701 bridge, 2.7 miles north of clarkton","Bladen",34.525473,-78.648793,"NC","6/28/1969","R.D. ROSS-VPI-2080","R.D. Ross & R.D. Ross"
"AMNH",78974,7,"Aphredoderidae","Aphredoderus sayanus","Boiling springs lake at boiling springs lake road, first bridge, south side","Brunswick",34.041908,-78.052595,"NC","5/16/1984","PMM-84-23","P.M. Mabee, J.O. Mabee & M.J. Mabee"
"AMNH",62729,4,"Aphredoderidae","Aphredoderus sayanus","Joyce creek (tributary of pasquotank river, an effluent of dismal swamp), 0.8 miles south of tar corner, route 1224 crossing","Camden",36.466352,-76.288106,"NC","6/6/1968","R.D. ROSS-VPI-1325","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",62735,30,"Aphredoderidae","Aphredoderus sayanus","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","6/6/1968","R.D. ROSS-VPI-1326","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",64866,50,"Aphredoderidae","Aphredoderus sayanus","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","7/15/1971","R.D. ROSS-VPI-2171","R.D. Ross, R.D. Ross, K. Dickson, L. Dole, J. Boaze & C.H. Hocutt"
"AMNH",62616,2,"Aphredoderidae","Aphredoderus sayanus","Pasquotank river swamp, at route 17 bridge, 1.1 mile southwest south mills","Camden",36.433696,-76.338961,"NC","5/23/1968","R.D. ROSS-VPI-1295","R.D. Ross & P.M. Brady"
"AMNH",62605,1,"Aphredoderidae","Aphredoderus sayanus","Pasquotank swamp at us route 17 bridge 1 mile north of morgans corners","Camden",36.430204,-76.340822,"NC","5/22/1968","R.D. ROSS-VPI-1293","R.D. Ross"
"AMNH",62599,9,"Aphredoderidae","Aphredoderus sayanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/22/1968","R.D. ROSS-VPI-1292","R.D. Ross"
"AMNH",65182,1,"Aphredoderidae","Aphredoderus sayanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/3/1969","R.D. ROSS-VPI-2209","R.D. Ross, R.D. Ross & R.S. Mitchell"
"AMNH",66891,6,"Aphredoderidae","Aphredoderus sayanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/7/1971","R.D. ROSS-VPI-2586","M.T. Masnik, W.M. Clay, C. Baker & J. Crossman"
"AMNH",64772,6,"Aphredoderidae","Aphredoderus sayanus","Hunters creek (tributary of white oak river) on county road 1100, ca. 0.5 mile east of junction of route 58","Carteret",34.795768,-77.128145,"NC","6/30/1969","R.D. ROSS-VPI-2087","R.D. Ross & R.D. Ross"
"AMNH",65601,2,"Aphredoderidae","Aphredoderus sayanus","Creek at SR 1100 bridge, 9.2 miles west of Croatan (Black Swamp Creek)","Craven",34.907159,-77.103899,"NC","4/25/1970","R.D. ROSS-VPI-2392","R.D. Ross, H. Zion & M.T. Masnik"
"AMNH",78973,5,"Aphredoderidae","Aphredoderus sayanus","North fork brice creek (West Prong Brice Creek), at SR 1100","Craven",34.937763,-77.065363,"NC","4/14/1986","PMM-86-03","P.M. Mabee & A. Bornbusch"
"AMNH",64378,1,"Aphredoderidae","Aphredoderus sayanus","Small creek, 4 miles northeast of New Bern on US 17","Craven",35.157033,-77.039368,"NC","7/12/1962","R.D. ROSS-VPI-1870","R.D. Ross, G. Clemmer & T. Gomez-ibanez"
"AMNH",248906,2,"Aphredoderidae","Aphredoderus sayanus","Rhodes Pond, impoundment on Black River at US-301, 6 miles south-southwest of Dunn","Cumberland",35.224843,-78.65573,"NC","3/6/2009","ACT-GP-09-III-06a","A.C. Terceira et al."
