"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",30138,350,"Atherinopsidae","Menidia beryllina","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"ANSP",152968,12,"Atherinopsidae","Menidia extensa","Lake Waccamaw, North Public Beach (adjacent to north shore restaurant & near foot of main road*","Columbus",34.310343,-78.539117,"NC","3/15/1984","Z152968","B. M. Burr, et al."
"AUM",45913,9,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89916,-76.25769,"NC","7/9/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer, R Henderson, C Knight, A Kennon"
"AUM",45840,4,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM",45987,33,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Old Drum Inlet, Cape Lookout National Seashore","Carteret",34.88067,-76.28136,"NC","7/8/2004","","C Knight, T Wilkes, M Farmer"
"AUM",45965,3,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village","Carteret",35.06515,-76.07588,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM",45955,2,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Portsmouth Inlet, N end of Cape Lookout National Seashore","Carteret",35.06505,-76.03991,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM",45903,2,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM",45999,8,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.95175,-76.19828,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM",45712,7,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Bald Point, 0.2 miles N Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.27083,-75.51944,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM",45702,1,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, bay at Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79397,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45649,9,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM",45657,3,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, marsh pond, 1.5 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.84769,-75.57,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM",45674,8,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45721,1,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, Turtle Pond, 1.0 miles SE Buxton, Cape Hatteras National Seashore","Dare",35.25514,-75.52236,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM",45733,2,"Atherinopsidae","Menidia beryllina","North Atlantic Ocean, marsh pond, Ocracoke Island.0.05 miles S ferry dock, Cape Hatteras National Seashore","Hyde",35.11664,-75.98103,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM",53361,11,"Atherinopsidae","Menidia extensa","Waccamaw River - Winyah Bay - North Atlantic Ocean, Lake Waccamaw, 0.5 miles S of Lake Waccamaw","Columbus",34.26333,-78.48972,"NC","10/18/2001","","E Johnston, D.C. Werneke,  Atlantic Slope Class"
"CAS",8402,4,"Atherinopsidae","Menidia beryllina","Albemarle Sound, Edenton.","Chowan",36.031394,-76.614577,"NC","","","Smith, Hugh M."
"CUMV",33570,188,"Atherinopsidae","Menidia beryllina","Pamlico R., ±4.5 mi. SE of Wichard's Beach","Beaufort",35.462273,-76.956653,"NC","7/11/1955","EED NC-495","E. Deubler;  Brian Rothchild;  Neal Foster"
