"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",TRUE,11,"Belonidae","Strongylura marina","Currituck sound, kitty hawk",,36.114536,-75.744037,"NC","8/1/1971",,
"ANSP",TRUE,1,"Belonidae","Strongylura marina","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.",,34.821155,-78.820975,"NC","6/6/1970",,
"AUM",TRUE,1,"Belonidae","Strongylura marina","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore",,34.89916,-76.25769,"NC","7/9/2004",,
"AUM",TRUE,1,"Belonidae","Strongylura marina","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village",,35.06515,-76.07588,"NC","7/8/2004",,
"AUM",TRUE,1,"Belonidae","Strongylura marina","North Atlantic Ocean, Shackleford Slue Beach, .1 mile SE of mooring pier",,34.67887,-76.65041,"NC","8/5/2003",,
"AUM",TRUE,2,"Belonidae","Strongylura marina","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore",,34.95175,-76.19828,"NC","7/8/2004",,
"AUM",TRUE,4,"Belonidae","Strongylura marina","North Atlantic Ocean, bay at Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore",,35.79397,-75.54861,"NC","7/29/2003",,
"AUM",TRUE,1,"Belonidae","Strongylura marina","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore",,35.79387,-75.54861,"NC","7/29/2003",,
"CAS",TRUE,2,"Belonidae","Strongylura marina","Beaufort Harbor, Beaufort.",,34.71125,-76.644043,"NC","",,
"CAS",TRUE,1,"Belonidae","Strongylura marina","Beaufort Harbor, Beaufort.",,34.724649,-76.665801,"NC","",,
