"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",18497,"2","Catostomidae","Catostomus commersonii","Buffalo creek, over ridge from buffalo creek post office","Ashe",36.463211,-81.512688,"NC","8/12/1922","CMB-22-VIII-12","C.M. Breder & R. Breder"
"AMNH",66193,"1","Catostomidae","Catostomus commersonii","Gap creek on route 221 at fleetwood ca. 3.4 miles northeast watauga-ashe county line","Ashe",36.284135,-81.505242,"NC","10/11/1970","R.D. ROSS-VPI-2499","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH",66387,"1","Catostomidae","Catostomus commersonii","Helton creek, 1-2 miles north of sturgills and 0.5 mile north of helton","Ashe",36.552516,-81.484943,"NC","6/15/1969","R.D. ROSS-VPI-2517","E. Menhinick & et al."
"AMNH",62224,"2","Catostomidae","Catostomus commersonii","Little horse creek (tributary of north fork of new river), 2 miles north of lansing, on little horse creek road","Ashe",36.507066,-81.520241,"NC","9/6/1966","R.D. ROSS-VPI-1100","R.D. Ross & J. Roles"
"AMNH",66236,"2","Catostomidae","Catostomus commersonii","North fork of new river and mouth of big horse creek","Ashe",36.485624,-81.49344,"NC","10/12/1970","R.D. ROSS-VPI-2504","R.D. Ross, K.L. Dickson, R.D. Ross & F. Benfield"
"AMNH",220265,"6","Catostomidae","Catostomus commersonii","Johns river headwaters forks at upton","Caldwell",36.067718,-81.694494,"NC","7/12/1956","USCM-56-VII-12","No Name, Randall & et al."
"AMNH",220205,"1","Catostomidae","Catostomus commersonii","Big crooked creek at tate bridge, 4 miles south of old fort, SR 1103","McDowell",35.572038,-82.18604,"NC","7/21/1955","USCM-55-VII-21A","No Name, J.W. Randall, J. Randall & J.F. Randall"
"AMNH",66210,"5","Catostomidae","Catostomus commersonii","South fork of new river on county road 1331","Watauga",36.244294,-81.632276,"NC","10/11/1970","R.D. ROSS-VPI-2500","No Name & R.D. Ross"
"AMNH",64381,"2","Catostomidae","Erimyzon oblongus","Old Ford Swamp, 6 miles north of Washington on US 17","Beaufort",35.63121,-77.06296,"NC","7/11/1962","R.D. ROSS-VPI-1872","R.D. Ross, G. Clemmer & T. Gomez-ibanez"
"AMNH",62722,"2","Catostomidae","Erimyzon oblongus","Joyce creek (tributary of pasquotank river, an effluent of dismal swamp), 0.8 miles south of tar corner, route 1224 crossing","Camden",36.466352,-76.288106,"NC","6/6/1968","R.D. ROSS-VPI-1325","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",62755,"2","Catostomidae","Erimyzon oblongus","Taylor Swamp just below Jones Mill Pond near Corapeake","Gates",36.525237,-76.577303,"NC","6/7/1968","R.D. ROSS-VPI-1329","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",63638,"1","Catostomidae","Erimyzon oblongus","East Fork Eno River, 2 miles south of Cedar Grove","Orange",36.137309,-79.157646,"NC","8/12/1963","R.D. ROSS-VPI-1584","R.L. Miles, R.E. Jenkins & R.D. Ross"
"AMNH",64157,"4","Catostomidae","Erimyzon sucetta","Colly Creek just below Singletary Lake recreation area dam","Bladen",34.589157,-78.447684,"NC","5/17/1962","R.D. ROSS-VPI-1815","G. Clemmer, D. Patton, Dave, Payne & Neil"
"AMNH",19139,"4","Catostomidae","Hypentelium nigricans","Beaver creek (arbitrarily located at mouth)","Ashe",36.332031,-81.428748,"NC","7/28/1922","CMB-22-VII-28","C.M. Breder & R. Breder"
"AMNH",66252,"3","Catostomidae","Hypentelium nigricans","Cranberry creek (mulberry creek), (tributary of south fork of new river), at route 88 crossing, 2 miles west of laurel springs","Ashe",36.414824,-81.283385,"NC","10/12/1970","R.D. ROSS-VPI-2506","R.D. Ross, R.D. Ross, K. Dickson & F. Benfield"
"AMNH",66192,"20","Catostomidae","Hypentelium nigricans","Gap creek on route 221 at fleetwood ca. 3.4 miles northeast watauga-ashe county line","Ashe",36.284135,-81.505242,"NC","10/11/1970","R.D. ROSS-VPI-2499","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH",66388,"7","Catostomidae","Hypentelium nigricans","Helton creek, 1-2 miles north of sturgills and 0.5 mile north of helton","Ashe",36.552516,-81.484943,"NC","6/15/1969","R.D. ROSS-VPI-2517","E. Menhinick & et al."
"AMNH",62223,"6","Catostomidae","Hypentelium nigricans","Little horse creek (tributary of north fork of new river), 2 miles north of lansing, on little horse creek road","Ashe",36.507066,-81.520241,"NC","9/6/1966","R.D. ROSS-VPI-1100","R.D. Ross & J. Roles"
"AMNH",62232,"1","Catostomidae","Hypentelium nigricans","Little horse creek (tributary of north fork of new river), 2 miles north of lansing, on little horse creek road","Ashe",36.507066,-81.520241,"NC","9/6/1966","R.D. ROSS-VPI-1101","R.D. Ross & J. Roles"
"AMNH",67909,"1","Catostomidae","Hypentelium nigricans","North fork of new river and mouth of big horse creek","Ashe",36.485624,-81.49344,"NC","10/12/1970","R.D. ROSS-VPI-2504","R.D. Ross, K.L. Dickson, R.D. Ross & F. Benfield"
"AMNH",228478,"1","Catostomidae","Hypentelium nigricans","North fork of new river and mouth of big horse creek","Ashe",36.485624,-81.49344,"NC","10/12/1970","R.D. ROSS-VPI-2504","R.D. Ross, K.L. Dickson, R.D. Ross & F. Benfield"
"AMNH",66231,"3","Catostomidae","Hypentelium nigricans","North fork of new river tributary at fig off route 88","Ashe",36.453205,-81.603061,"NC","10/12/1970","R.D. ROSS-VPI-2503","R.D. Ross, R.D. Ross, K. Dickson & F. Benfield"
"AMNH",66220,"1","Catostomidae","Hypentelium nigricans","North fork of new river, 1.5 miles north of junction of 194 and route 88 at a steel bridge","Ashe",36.471826,-81.514336,"NC","10/12/1970","R.D. ROSS-VPI-2502","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH",66854,"1","Catostomidae","Hypentelium nigricans","North fork of new river, at junction of routes 1126 and 1191","Ashe",36.445544,-81.586625,"NC","5/1/1971","R.D. ROSS-VPI-2578","R.D. Ross, A. Hendricks, F. Benfield & D.P. Klarberg"
"AMNH",66850,"1","Catostomidae","Hypentelium nigricans","North fork of new river, at junction of routes 1343 and 88","Ashe",36.461528,-81.548717,"NC","5/1/1971","R.D. ROSS-VPI-2577","R.D. Ross, F. Benfield, A. Hendricks & D.P. Klarberg"
"AMNH",66863,"3","Catostomidae","Hypentelium nigricans","North fork of new river, at junction of routes 194 and 1642","Ashe",36.485402,-81.493794,"NC","5/1/1971","R.D. ROSS-VPI-2579","R.D. Ross, F. Benfield, D.P. Klarberg & A. Hendricks"
"AMNH",12094,"1","Catostomidae","Hypentelium nigricans","South Beaver creek, spillway near post office","Ashe",36.343855,-81.443401,"NC","7/24/1922","CMB-22-VII-24","C.M. Breder & R. Breder"
"AMNH",17942,"1","Catostomidae","Hypentelium nigricans","South Beaver creek, spillway near post office","Ashe",36.343855,-81.443401,"NC","7/24/1922","CMB-22-VII-24","C.M. Breder & R. Breder"
"AMNH",12078,"3","Catostomidae","Hypentelium nigricans","South Beaver creek, spillway near post office","Ashe",36.343855,-81.443401,"NC","8/3/1922","CMB-22-VIII-03","C.M. Breder & R. Breder"
"AMNH",66179,"1","Catostomidae","Hypentelium nigricans","South fork of new river on route 88 crossing and at route 88 and 16 bridge","Ashe",36.39485,-81.407571,"NC","10/11/1970","R.D. ROSS-VPI-2498","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH",71237,"1","Catostomidae","Hypentelium nigricans","South fork of new river, along rt. 16, 1.6 miles south of rt. 88, at index","Ashe",36.380908,-81.400936,"NC","9/4/1974","R.D. ROSS-VPI-3283","M.T. Masnik, J.R. Stauffer, A.F. Maciorowski, S.R. Kark & J. Gieger"
"AMNH",3056,"1","Catostomidae","Hypentelium nigricans","Marshall, french broad river","Madison",35.796008,-82.684671,"NC","3/25/1905","MLC-11-SPRING","M.L. Church"
"AMNH",3624,"1","Catostomidae","Hypentelium nigricans","Marshall, french broad river","Madison",35.796008,-82.684671,"NC","3/26/1905","MLC-12-SUMMER","M.L. Church"
