"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",64324,1,"Clupeidae","Brevoortia tyrannus","Bogue Sound at UNC-IMS beach","Carteret",34.722437,-76.75263,"NC","7/10/1964","R.D. ROSS-VPI-1861","G. Clemmer, T. Gomez-ibanez & R.D. Ross"
"AMNH",65260,30,"Clupeidae","Alosa aestivalis","Newport river and core creek","Carteret",34.772276,-76.684083,"NC","9/17/1969","R.D. ROSS-VPI-2330","R.D. Ross, F.J. Schwartz, J. Kellum & T. Kellum"
"AMNH",65261,20,"Clupeidae","Brevoortia tyrannus","Newport river and core creek","Carteret",34.772276,-76.684083,"NC","9/17/1969","R.D. ROSS-VPI-2330","R.D. Ross, F.J. Schwartz, J. Kellum & T. Kellum"
"AMNH",30124,127,"Clupeidae","Brevoortia tyrannus","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"AMNH",30125,1,"Clupeidae","Dorosoma cepedianum","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"ANSP",1188,2,"Clupeidae","Brevoortia tyrannus","Fort Macon.","Carteret",34.685183,-76.691953,"NC","1869","HCY-FM","Dr. Elliott Coues & Dr. H.C. Yarrow"
"ANSP",116433,1,"Clupeidae","Alosa sapidissima","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski"
"ANSP",116419,1,"Clupeidae","Alosa sapidissima","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP",116420,1,"Clupeidae","Dorosoma cepedianum","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP",84789,2,"Clupeidae","Dorosoma cepedianum","Haw River in basin of the Cape Fear River, on Route U.S.#1 at bridge; 'water muddy, also bottom'.","Chatham",35.632196,-79.060976,"NC","8/25/1940","40-8-25-HR","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"AUM",59038,6,"Clupeidae","Alosa pseudoharengus","Pamlico Sound - North Atlantic Ocean, Lake Landing Canal, returning to Pamlico Sound from Lake Mattamuskeet","Hyde",35.48009,-76.07686,"NC","5/10/1969","","M Tyus"
"AUM",5713,7,"Clupeidae","Dorosoma cepedianum","Pee Dee River, Dutchmans Cr., 4.0 airmi NW of Cana, Hwy 601","Davie",36.018949,-80.618336,"NC","6/28/1970","","S Ramsey"
"AUM",45662,4,"Clupeidae","Brevoortia tyrannus","North Atlantic Ocean, Coquina Beach, 3.0 miles N of Oregon Inlet, hwy 12, across from Bodie Island Lighthouse, Cape Hatteras National Seashore","Dare",35.82989,-75.55567,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45700,1,"Clupeidae","Brevoortia tyrannus","North Atlantic Ocean, bay at Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79397,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45682,3,"Clupeidae","Brevoortia tyrannus","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"CAS",4601,1,"Clupeidae","Dorosoma cepedianum","PASQUOTANK RIVER, BELOW ELIZABETH CITY, N.C.","Pasquotank",36.301069,-76.217038,"NC","","","Smith, Hugh M."
"CAS",19840,1,"Clupeidae","Brevoortia tyrannus","Beaufort Harbor, Beaufort.","Carteret",34.724649,-76.665801,"NC","","","Jordan, Jenkins, Meek"
"CUMV",6843,1,"Clupeidae","Brevoortia tyrannus","Newport R. at Beaufort","Carteret",34.72129,-76.690981,"NC","7/29/1913","FH 13JUL29","Francis Harper"
"CUMV",6849,3,"Clupeidae","Brevoortia tyrannus","Newport R. at Beaufort","Carteret",34.72129,-76.690981,"NC","8/21/1913","FH 13AUG21","Francis Harper;  Hay"
"CUMV",28556,3,"Clupeidae","Brevoortia tyrannus","Newport R. at Beaufort","Carteret",34.72129,-76.690981,"NC","8/21/1913","FH 13AUG21","Francis Harper;  Hay"
"CUMV",10646,2,"Clupeidae","Dorosoma cepedianum","Lake Waccamaw, N Shore","Columbus",34.310343,-78.539117,"NC","6/26/1946","ECR 1200","Edward Raney;  Ernest Lachner;  Robert Ross"
"CUMV",23548,1,"Clupeidae","Alosa mediocris","Albemarle Sound at N end of bridge at Rt. 32","Chowan",35.994288,-76.471354,"NC","8/27/1949","ECR 2413","Edward Raney;  Charles Robins;  William Woolcott"
"CUMV",23540,111,"Clupeidae","Alosa pseudoharengus","Albemarle Sound at N end of bridge at Rt. 32","Chowan",35.994288,-76.471354,"NC","8/27/1949","ECR 2413","Edward Raney;  Charles Robins;  William Woolcott"
"CUMV",28924,274,"Clupeidae","Alosa pseudoharengus","Albermarle Sound at bridge on north side, S of Edenton","Chowan",36.047921,-76.694641,"NC","8/29/1950","ECR 2598","Edward Raney;  William Woolcott;  E. Deubler"
"CUMV",23533,604,"Clupeidae","Brevoortia tyrannus","Albemarle Sound at N end of bridge at Rt. 32","Chowan",35.994288,-76.471354,"NC","8/28/1953","ECR 2413","Edward Raney;  Charles Robins;  William Woolcott"
