"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","66250","4","Cottidae","Cottus bairdii","Cranberry creek (mulberry creek), (tributary of south fork of new river), at route 88 crossing, 2 miles west of laurel springs","Ashe",36.414824,-81.283385,"NC","25853","R.D. ROSS-VPI-2506","R.D. Ross, R.D. Ross, K. Dickson & F. Benfield"
"AMNH","66244","10","Cottidae","Cottus bairdii","Cranberry creek (mulberry creek), (tributary of south fork of new river), at route 88 crossing, 2 miles west of laurel springs","Ashe",36.414824,-81.283385,"NC","25853","R.D. ROSS-VPI-2505","R.D. Ross, R.D. Ross, K. Dickson & F. Benfield"
"AMNH","66204","20","Cottidae","Cottus bairdii","Gap creek on route 221 at fleetwood ca. 3.4 miles northeast watauga-ashe county line","Ashe",36.284135,-81.505242,"NC","25852","R.D. ROSS-VPI-2499","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH","68725","7","Cottidae","Cottus bairdii","French broad river off route 64, 1.5 miles west of rosman","Transylvania",35.139925,-82.847002,"NC","26548","R.D. ROSS-VPI-2872","R.D. Ross, M.T. Masnik & P.S. Hambrick"
"AMNH","66213","7","Cottidae","Cottus bairdii","South fork of new river on county road 1331","Watauga",36.244294,-81.632276,"NC","25852","R.D. ROSS-VPI-2500","No Name & R.D. Ross"
"ANSP","61011","1","Cottidae","Cottus bairdii","Gap Creek, south of Ashville.","Buncombe",35.5347849999999,-82.432253,"NC","8/21/1934","34-8-21-GC","E. M. Burton"
"ANSP","85501","3","Cottidae","Cottus bairdii","Tuckasegee River at Dillsboro","Jackson",35.3669769999999,-83.251776,"NC","7/2/1941","Z85501","H. W. Fowler Jr."
"ANSP","54555","1","Cottidae","Cottus bairdii","Crabtree Creek, 6 mi. west of Spruce Pines.","Mitchell",35.9021669999999,-82.1469349999999,"NC","6/23/1930","30-6-23-CTC","T. Kerr and J. G. Carlson"
"AUM","61551","26","Cottidae","Cottus bairdii","New River - Ohio River - Mississippi River, North Fork New River and tributary, upstream of West Peak Road, 1 mile NNE of Sutherland","Ashe",36.4072,-81.68091,"NC","8/15/2013","","D.C. Werneke, M Holcomb"
"AUM","5919","13","Cottidae","Cottus bairdii","French Broad River - Tennessee River, Bent Cr., below Lake Powhatan, 2.7 airmi WNW","Buncombe",35.500661,-82.599448,"NC","8/17/1972","","Seehorn,  Harshbarger"
