"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"CUMV",22240,1,"Cyprinidae","Carassius auratus","Big Branch (trib. of Little Ivy Cr.) to about 1.5 mi. from Mars Hill","Madison",35.817982,-82.534142,"NC","6/5/1947","LMO 51-9","L. Outten"
"INHS",90086,1,"Cyprinidae","Carassius auratus","Dan River, 12 mi ENE Mount Airy, Flippin Rd. bridge","Stokes",36.54322,-80.41146,"NC","3/13/2001","","M. Hardman & L.M. Pintor"
"NCDMF",,1,"Cyprinidae","Carassius auratus","UCF6, CAPE FEAR RIVER, WILMINGTON AND ABOVE","",34.40694,-78.27833,"NC","050201","1902000000",""
"NCDMF",,4,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.49528,-77.03639,"NC","000302","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.5,-77.03194,"NC","000302","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.50472,-77.03778,"NC","000302","528000300",""
"NCDMF",,2,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.44194,-76.94694,"NC","000316","528000300",""
"NCDMF",,3,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.47361,-76.98833,"NC","000316","528000300",""
"NCDMF",,5,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.51028,-77.02694,"NC","000425","528000300",""
"NCDMF",,9,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.52889,-77.05083,"NC","000425","528000300",""
"NCDMF",,2,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.53083,-77.04778,"NC","000425","528000300",""
"NCDMF",,5,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.49806,-76.99556,"NC","000517","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","MOUTH TO CHERRY PT/WILKINSON PT.","",35.00278,-76.71556,"NC","000601","535000100",""
"NCDMF",,2,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.47528,-76.99389,"NC","000613","528000300",""
"NCDMF",,11,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.49472,-77.03306,"NC","000613","528000300",""
"NCDMF",,4,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.51056,-77.02611,"NC","000627","528000300",""
"NCDMF",,4,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.51639,-77.03167,"NC","000627","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","152, ROANOKE R. TO RAILROAD BR.","",35.942,-76.641,"NC","000711","200040000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.49694,-77.03639,"NC","000713","528000300",""
"NCDMF",,2,"Cyprinidae","Cyprinus carpio","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42583,-76.8675,"NC","000810","528000200",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.47,-76.92917,"NC","000811","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.47194,-76.93861,"NC","000811","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.45528,-76.97361,"NC","000822","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","139, ROANOKE R. TO US17 BR.","",35.992,-76.675,"NC","000907","200020000",""
"NCDMF",,4,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.52139,-77.02083,"NC","000912","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.46667,-76.91861,"NC","001003","528000300",""
"NCDMF",,3,"Cyprinidae","Cyprinus carpio","UPSTREAM OF MAULS PT/RAGGED PT","",35.47583,-76.94389,"NC","001003","528000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","ABOVE NEW BERN","",35.145,-77.05,"NC","001109","535000300",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","CR008, TROTMAN CREEK","",36.34712,-76.66321,"NC","010320","208040100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","162S, ROANOKE R. TO US17 BR.","",35.979,-76.694,"NC","010627","200020000",""
"NCDMF",,5,"Cyprinidae","Cyprinus carpio","162S, ROANOKE R. TO US17 BR.","",35.979,-76.694,"NC","010703","200020000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","39S, YEOPIM RIVER","",36.08,-76.411,"NC","020718","206000000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","020828","1902030100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","020918","1902040100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","021003","1902040100",""
"NCDMF",,3,"Cyprinidae","Cyprinus carpio","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","030310","1902030100",""
"NCDMF",,5,"Cyprinidae","Cyprinus carpio","WYSOCKING BAY","",35.43472,-76.05222,"NC","030326","514000000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","PAINS BAY","",35.59,-75.82056,"NC","030327","503010000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","030414","1902030100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","NE44, SMITH CREEK TO LANE FERRY","",34.37583,-77.86389,"NC","030416","1902030100",""
"NCDMF",,8,"Cyprinidae","Cyprinus carpio","MIDDELTON ANCHORAGE","",35.48972,-75.97528,"NC","030417","509000000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","SHAD POINT","",35.53972,-75.9225,"NC","030422","504050000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030422","1902040100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","LONG POINT","",35.41139,-76.02139,"NC","030429","513050000",""
"NCDMF",,9,"Cyprinidae","Cyprinus carpio","OFF STUMPY POINT","",35.63972,-75.73806,"NC","030430","500370000",""
"NCDMF",,3,"Cyprinidae","Cyprinus carpio","THE CAT","",35.78083,-75.6025,"NC","030501","400050200",""
"NCDMF",,2,"Cyprinidae","Cyprinus carpio","THE CAT","",35.7825,-75.60944,"NC","030501","400050200",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","SPENCER BAY","",35.37333,-76.46944,"NC","030509","527000000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","NE45, SMITH CREEK TO LANE FERRY","",34.43889,-77.82917,"NC","030514","1902030100",""
"NCDMF",,5,"Cyprinidae","Cyprinus carpio","HOG ISLAND BAY","",35.81333,-75.62028,"NC","030515","308010000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","HOG ISLAND","",35.37194,-76.07,"NC","030515","500330000",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","CR23, SPENCER CREEK","",35.86253,-75.75437,"NC","030521","302000000",""
"NCDMF",,3,"Cyprinidae","Cyprinus carpio","E. OF BLUFF TO LONG SH./RODAN.","",35.36389,-76.09389,"NC","030528","500170100",""
"NCDMF",,1,"Cyprinidae","Cyprinus carpio","UCF7, BELOW HWY 210","",34.37333,-78.07833,"NC","030528","1902040100",""
