"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"ANSP",9799,1,"Cyprinodontidae","Cyprinodon variegatus","Fort Macon.","Carteret",34.685183,-76.691953,"NC","1869","HCY-FM","Dr. Elliott Coues & Dr. H.C. Yarrow"
"AUM",45910,2,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Cape Lookout Pond, N end of Cape Lookout National Seashore","Carteret",34.93465,-76.21389,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM",45944,7,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89933,-76.25758,"NC","7/8/2004","","R Henderson, C Knight, A Kennon"
"AUM",45917,17,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89916,-76.25769,"NC","7/9/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer, R Henderson, C Knight, A Kennon"
"AUM",45852,1,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Mudflat, 4 miles E of mooring pier","Carteret",34.67019,-76.58775,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM",45843,9,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM",45838,3,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Mullet Pond, .75 miles SSE of mooring pier","Carteret",34.68433,-76.64214,"NC","8/4/2003","","Castro, G Thomas, A Kennon"
"AUM",45989,8,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Old Drum Inlet, Cape Lookout National Seashore","Carteret",34.88067,-76.28136,"NC","7/8/2004","","C Knight, T Wilkes, M Farmer"
"AUM",45907,15,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM",45714,2,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Bald Point, 0.2 miles N Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.27083,-75.51944,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM",45654,1,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM",45678,9,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45688,3,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM",45735,3,"Cyprinodontidae","Cyprinodon variegatus","North Atlantic Ocean, marsh pond, Ocracoke Island.0.05 miles S ferry dock, Cape Hatteras National Seashore","Hyde",35.11664,-75.98103,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM",38664,3,"Cyprinodontidae","Cyprinodon variegatus","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, from middle of lake","Hyde",35.491772,-76.214516,"NC","","",""
"CUMV",6876,7,"Cyprinodontidae","Cyprinodon variegatus","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/2/1909","FH 13AUG03","Francis Harper"
