"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"NCWRC",,"1","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Rd,","Brunswick",34.11384,-78.39101,"NC","04/19/2004","040419.1rjh","R.J. Heise, M. Hughes"
"NCWRC",,"4","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Rd, 1340","Brunswick",34.12302,-78.39436,"NC","04/04/2015","fcr-15-06","Fritz C. Rohde"
"NCWRC",,"76","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Rd., 1340","Brunswick",34.12305,-78.39432,"NC","10/17/2014","141017.2bkj","Brena Jones, KYLE JOSEPH HUSSEY, Fritz C. Rohde"
"NCWRC",,"12","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Road, SR 1340","Brunswick",34.12141,-78.39244,"NC","02/16/2013","fcr08","Fritz C. Rohde"
"NCWRC",,"5","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Road, SR 1340","Brunswick",34.12284,-78.39413,"NC","03/28/2014","FR-14-02","Fritz C. Rohde"
"NCWRC",,"1","Elassomatidae","Elassoma boehlkei","Muddy Branch, Makatoa Rd., 1342","Brunswick",34.09246,-78.38309,"NC","10/25/2017","171025.3bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"3","Elassomatidae","Elassoma boehlkei","Scippio Swamp, Ash Little River Rd, 1300","Brunswick",34.00517,-78.57245,"NC","10/25/2017","171025.4bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"1","Elassomatidae","Elassoma boehlkei","Unnamed Creek,  ,","Brunswick",34.15945,-78.46307,"NC","04/20/2004","040420.2rjh","R.J. Heise, M. Huges, M. Danaher"
"NCWRC",,"22","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Rd., 1340","Brunswick, Columbus",34.1232,-78.39465,"NC","10/24/2017","171024.5bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"Abundant","Elassomatidae","Elassoma boehlkei","Juniper Creek, IP rd off of Camp Branch Rd.,","Brunswick, Columbus",34.18154,-78.34941,"NC","03/02/2004","040302.4rbn","R.B. Nichols + see 040302.1RBN"
"NCWRC",,"4","Elassomatidae","Elassoma boehlkei","Honey Island Swamp, Juniper Creek Gamelands Rd.,","Columbus",34.17475,-78.3824,"NC","10/24/2017","171024.4bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"3","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Road, 1340","Columbus",34.12291,-78.39449,"NC","05/04/2013","130504.1jec","Ed Corey"
"NCWRC",,"3","Elassomatidae","Elassoma boehlkei","Juniper Creek, Camp Branch Road, SR 1340","Columbus",34.123,-78.3946,"NC","02/09/2018","180209.2tws","Tim Savidge, Lizzy Stokes Cawley, Tom Dickinson, Evan Morgan, Fritz C. Rohde"
"NCWRC",,"6","Elassomatidae","Elassoma boehlkei","Juniper Creek, Dock Road, SR 1928","Columbus",34.15494,-78.53145,"NC","02/16/2013","FCR09","Fritz C. Rohde"
"NCWRC",,"27","Elassomatidae","Elassoma boehlkei","Juniper Creek, IP land,","Columbus",34.15147,-78.41454,"NC","03/02/2004","040302.3rbn","R.B. Nichols +5 (see 040302.1rbn)"
"NCWRC",,"1","Elassomatidae","Elassoma boehlkei","Marlowe Creek, Seven Creeks Hwy, NC 905","Columbus",33.9952,-78.6548,"NC","02/09/2018","180209.9tws","Tim Savidge, Lizzy Stokes Cawley, Fritz C. Rohde"
"NCWRC",,"1","Elassomatidae","Elassoma boehlkei","Roadside ditch, Juniper Creek Gamelands Rd. off Little Swamp Rd.,","Columbus",34.16293,-78.46238,"NC","10/24/2017","171024.2bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"2","Elassomatidae","Elassoma boehlkei","Roadside ditch, Juniper Creek Gamelands Rd.,","Columbus",34.17799,-78.40254,"NC","10/24/2017","171024.3bkj","Brena Jones, Anakela Popp, JOHN MCALISTER"
"NCWRC",,"4","Elassomatidae","Elassoma boehlkei","Roadside ditch, Juniper Creek Gamelands,","Columbus",34.16299,-78.46237,"NC","12/10/2014","141210.2bkj","Brena Jones, KYLE JOSEPH HUSSEY"
"AMNH",78996,"20","Elassomatidae","Elassoma boehlkei","Juniper creek at county road 1340","Brunswick",34.122987,-78.394423,"NC","30804","PMM-84-05","P.M. Mabee"
"AMNH",78998,"125","Elassomatidae","Elassoma boehlkei","Juniper creek at county road 1340","Brunswick",34.122987,-78.394423,"NC","30834","PMM-84-30","P.M. Mabee & T.J. Mabee"
"AMNH",78997,"73","Elassomatidae","Elassoma boehlkei","Juniper creek at county road 1340","Brunswick",34.122987,-78.394423,"NC","31620","PMM-86-29","P.M. Mabee & J. Fauth"
"ANSP",158481,"1","Elassomatidae","Elassoma boehlkei","Juniper Creek at State Route 1340 bridge, 1.6 km E of Makatoka, 17.8 km NW of Supply.","Brunswick",34.1229939999999,-78.394361,"NC","3/13/1983","Z158481","F. C. Rohde"
