"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AUM",45738,"2","Eleotridae","Dormitator maculatus","North Atlantic Ocean, Tidal Creek, Cape Hatteras National Seashore","Dare",35.14047,-75.89292,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"INHS",87502,"","Eleotridae","Dormitator maculatus","Smith Creek, Wilmington, North Kerr Ave., (Cape Fear River Dr.)","New Hanover",34.262478,-77.887289,"NC","7/24/1981","","D.L. Swofford & R.D. Swofford"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","245RD; Isaac Creek","",34.902,-76.667,"NC","910905","535200500","NCDMF"
"NCDMF",,"1","Eleotridae","Eleotris amblyopsis","426RD; Uncle Jimmy's Landing","",35.599,-75.471,"NC","151007","500300109","NCDMF"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","CF11; Brunswick River","",34.23194,-77.98583,"NC","051011","1902020000","NCDMF"
"NCDMF",,"2","Eleotridae","Eleotris amblyopsis","CF11; Brunswick River","",34.23194,-77.98583,"NC","051011","1902020000","NCDMF"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","CFR1; Cape Fear River, Wilmington and above","",34.24944,-77.97333,"NC","031110","1902000000","NCDMF"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","CFR1; Cape Fear River, Wilmington and above","",34.24944,-77.97333,"NC","031208","1902000000","NCDMF"
"NCDMF",,"7","Eleotridae","Dormitator maculatus","CFR1; Cape Fear River, Wilmington and above","",34.252,-77.968,"NC","031105","1902000000","NCDMF"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","CFR2; Smith Creek to Lane Ferry","",34.26694,-77.94722,"NC","031016","1902030100","NCDMF"
"NCDMF",,"3","Eleotridae","Eleotris amblyopsis","CFR2; Smith Creek to Lane Ferry","",34.26694,-77.94722,"NC","031016","1902030100","NCDMF"
"NCDMF",,"1","Eleotridae","Eleotris amblyopsis","HE5; Hewlett's Creek","",34.195,-77.862,"NC","840510","1701010000","NCDMF"
"NCDMF",,"3","Eleotridae","Dormitator maculatus","NE42; Smith Creek to Lane Ferry","",34.33778,-77.98139,"NC","031016","1902030100","NCDMF"
"NCDMF",,"1","Eleotridae","Dormitator maculatus","NE42; Smith Creek to Lane Ferry","",34.33778,-77.98139,"NC","040708","1902030100","NCDMF"
"NCDMF",,"1","Eleotridae","Eleotris amblyopsis","NE42; Smith Creek to Lane Ferry","",34.33778,-77.98139,"NC","031016","1902030100","NCDMF"
"Scott A. Smith (NCDMF) and Fred C. Rohde (NOAA)",,"Present","Eleotridae","Dormitator maculatus","Overflow from Greenfield Lake","New Hanover",34.212463,-77.945266,"NC","042861","Overflow from Greenfield Lake","Scott and Fritz"
"Fred C. Rohde (NOAA)",,"Present","Eleotridae","Dormitator maculatus","Anne McCrary Park Lake","New Hanover",34.228725,-77.900534,"NC","43344","Anne McCrary Park Lake","Fritz"
"Fred C. Rohde (NOAA)",,"Present","Eleotridae","Dormitator maculatus","Middle Sound Loop Wilmington","New Hanover",34.2689,-77.7941,"NC","39643","Middle Sound Loop Wilmington","Fritz"
"Scott A. Smith (NCDMF)",,"Present","Eleotridae","Dormitator maculatus","Town Creek, Beaufort","Carteret",34.719377,-76.646635,"NC","043321","Town Creek, Beaufort","Scott"
"Scott A. Smith (NCDMF)",,"Present","Eleotridae","Dormitator maculatus","Town Creek, Circa intersection of Ricks Ave and Sherwood Blvd, Beaufort","Carteret",34.721495,-76.648226,"NC","043322","Town Creek, Circa intersection of Ricks Ave and Sherwood Blvd, Beaufort","Scott"
"Scott A. Smith (NCDMF)",,"Present","Eleotridae","Dormitator maculatus","Unnamed swamp, between NCDMF HQ, and Carteret Community College","Carteret",34.722727,-76.754432,"NC","043223","Unnamed swamp, between NCDMF HQ, and Carteret Community College","Scott"
"Scott A. Smith (NCDMF)",,"Present","Eleotridae","Dormitator maculatus","retention pond","Carteret",34.723,-76.7504,"NC","042617","retention pond","Scott"
"Scott A. Smith (NCDMF) and Fred C. Rohde (NOAA)",,"Present","Eleotridae","Dormitator maculatus","rivulet going into retention pond","Carteret",34.724,-76.75,"NC","042617","rivulet going into retention pond","Scott and Fritz"
"Scott A. Smith (NCDMF)",,"Present","Eleotridae","Dormitator maculatus","Unnamed Creek at the western end of Oak St, Morehead City","Carteret",34.724497,-76.765454,"NC","043223","Unnamed Creek at the western end of Oak St, Morehead City","Scott"
