"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",TRUE,2,"Engraulidae","Anchoa mitchilli","Bogue Sound at UNC-IMS beach",,34.722437,-76.75263,"NC","7/8/1962","R.D. ROSS-VPI-1861",
"AMNH",TRUE,5,"Engraulidae","Anchoa mitchilli","Duke marine laboratory, beaufort pier",,34.717483,-76.670562,"NC","4/12/1971","CLS-71-014",
"AMNH",TRUE,150,"Engraulidae","Anchoa mitchilli","Newport River (arbitrarily locate at Beaufort Biological Laboratory)",,34.718859,-76.676537,"NC","11/8/1909","USBF-09-XI-08",
"AMNH",TRUE,450,"Engraulidae","Anchoa mitchilli","Newport river estuary",,34.718954,-76.676276,"NC","1930-03-","USBF-30-III",
"AMNH",TRUE,450,"Engraulidae","Anchoa mitchilli","Newport river estuary, beaufort",,34.718954,-76.676276,"NC","7/2/1930","USBF-30-VII-02",
"AMNH",TRUE,400,"Engraulidae","Anchoa mitchilli","Newport river, beaufort",,34.718954,-76.676276,"NC","10/11/1929","USBF-29-X-11",
"AMNH",TRUE,170,"Engraulidae","Anchoa mitchilli","Currituck sound, kitty hawk",,36.114536,-75.744037,"NC","8/1/1971","GJN-71-14",
"AMNH",TRUE,15,"Engraulidae","Anchoa mitchilli","Long Crek (tributary to Vandemere Creek), at mouth",,35.190683,-76.646289,"NC","5/27/1982","SWR-82-V-27 D7C",
"AMNH",TRUE,11,"Engraulidae","Anchoa mitchilli","Small creek tributary Vandemere Creek, north side, ca. 2.5 kilometers downstream NC 304 bridge",,35.199941,-76.650065,"NC","5/27/1982","SWR-82-V-27 B3C",
"AMNH",TRUE,25,"Engraulidae","Anchoa mitchilli","Vandemere Creek in midchannel, near mouth",,35.184931,-76.657876,"NC","5/27/1982","SWR-82-V-27 D4",
"AUM",TRUE,1,"Engraulidae","Anchoa mitchilli","North Atlantic Ocean, Cape Lookout Jetty, S Cape Lookout National Seashore",,34.61403,-76.55311,"NC","7/9/2004","",
"AUM",TRUE,2,"Engraulidae","Anchoa mitchilli","North Atlantic Ocean, Long Point Beach, Raleigh Bay, N end of Cape Lookout National Seashore",,34.89914,-76.25403,"NC","7/8/2004","",
"AUM",TRUE,7,"Engraulidae","Anchoa mitchilli","North Atlantic Ocean, Portsmouth Inlet, N end of Cape Lookout National Seashore",,35.06505,-76.03991,"NC","7/8/2004","",
"AUM",TRUE,1,"Engraulidae","Anchoa mitchilli","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore",,34.95175,-76.19828,"NC","7/8/2004","",
"AUM",TRUE,1,"Engraulidae","Anchoa mitchilli","North Atlantic Ocean, bay at Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore",,35.79397,-75.54861,"NC","7/29/2003","",
"CUMV",TRUE,5,"Engraulidae","Anchoa mitchilli","Pamlico R., ±4.5 mi. SE of Wichard's Beach",,35.462273,-76.956653,"NC","7/11/1955","EED NC-495",
"CUMV",TRUE,15,"Engraulidae","Anchoa mitchilli","Morehead City-Bogue Sound - pier behind Morehead Biltmore",,34.725228,-76.784883,"NC","9/2/1960","TWR 059",
"CUMV",TRUE,8,"Engraulidae","Anchoa mitchilli","Newport R. at Beaufort",,34.72129,-76.690981,"NC","8/6/1909","FH 13AUG07",
"CUMV",TRUE,25,"Engraulidae","Anchoa mitchilli","Shackleford Banks, N shore, 1.5 mi. from W end",,34.68555,-76.635407,"NC","9/4/1960","TWR 060",
"CUMV",TRUE,471,"Engraulidae","Anchoa mitchilli","Albemarle Sound at N end of bridge at Rt. 32",,35.994288,-76.471354,"NC","8/27/1949","ECR 2413",
"CUMV",TRUE,53,"Engraulidae","Anchoa mitchilli","Albermarle Sound at bridge on north side, S of Edenton",,36.047921,-76.694641,"NC","8/29/1950","ECR 2598",
"CUMV",TRUE,6,"Engraulidae","Anchoa mitchilli","Neuse R. at mouth of Adams Cr.",,34.961977,-76.685966,"NC","7/13/1955","BJR 137",
"CUMV",TRUE,34,"Engraulidae","Anchoa mitchilli","Flanners Beach, 6 mi. N of Havelock",,34.985541,-76.943926,"NC","3/24/1952","ECR 2758",
"CUMV",TRUE,13,"Engraulidae","Anchoa mitchilli","Pamlico Sound at mouth of Bay R.",,35.166561,-76.535627,"NC","7/14/1955","EED NC-500",
"CUMV",TRUE,22,"Engraulidae","Anchoa mitchilli","Pamlico Sound at mouth of Bay R.",,35.166561,-76.535627,"NC","7/14/1955","EED NC-500",
"NCDMF",,1,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","030513","2101010000",
"NCDMF",,2,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","040518","2101010000",
"NCDMF",,1,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","040603","2101010000",
"NCDMF",,44,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","050510","2101010000",
"NCDMF",,10,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","050609","2101010000",
"NCDMF",,20,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","060512","2101010000",
"NCDMF",,34,"Engraulidae","Anchoa mitchilli","SR9, GIBBS CREEK",,33.917,-78.36,"NC","070521","2101010000",
