"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","64748",1,"Esocidae","Esox americanus","Cape fear river tributary (Brown Marsh Swamp)  on route 701 bridge, 2.7 miles north of clarkton","Bladen",34.525473,-78.648793,"NC","6/28/1969","R.D. ROSS-VPI-2080","R.D. Ross & R.D. Ross"
"AMNH","62723",2,"Esocidae","Esox americanus","Joyce creek (tributary of pasquotank river, an effluent of dismal swamp), 0.8 miles south of tar corner, route 1224 crossing","Camden",36.466352,-76.288106,"NC","6/6/1968","R.D. ROSS-VPI-1325","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62734",20,"Esocidae","Esox americanus","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","6/6/1968","R.D. ROSS-VPI-1326","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","64867",11,"Esocidae","Esox americanus","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","7/15/1971","R.D. ROSS-VPI-2171","R.D. Ross, R.D. Ross, K. Dickson, L. Dole, J. Boaze & C.H. Hocutt"
"AMNH","62613",8,"Esocidae","Esox americanus","Pasquotank river swamp, at route 17 bridge, 1.1 mile southwest south mills","Camden",36.433696,-76.338961,"NC","5/23/1968","R.D. ROSS-VPI-1295","R.D. Ross & P.M. Brady"
"AMNH","62603",4,"Esocidae","Esox americanus","Pasquotank swamp at us route 17 bridge 1 mile north of morgans corners","Camden",36.430204,-76.340822,"NC","5/22/1968","R.D. ROSS-VPI-1293","R.D. Ross"
"AMNH","62600",5,"Esocidae","Esox americanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/22/1968","R.D. ROSS-VPI-1292","R.D. Ross"
"AMNH","62901",1,"Esocidae","Esox americanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","3/23/1969","R.D. ROSS-VPI-1363","R.D. Ross, P.J. Buhan, N. Ross & R. Ross"
"AMNH","65180",3,"Esocidae","Esox americanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/3/1969","R.D. ROSS-VPI-2209","R.D. Ross, R.D. Ross & R.S. Mitchell"
"AMNH","66888",30,"Esocidae","Esox americanus","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","5/7/1971","R.D. ROSS-VPI-2586","M.T. Masnik, W.M. Clay, C. Baker & J. Crossman"
