"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","30135","7","Fundulidae","Fundulus diaphanus","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"AMNH","64384","1","Fundulidae","Fundulus lineolatus","Old Ford Swamp, 6 miles north of Washington on US 17","Beaufort",35.63121,-77.06296,"NC","7/11/1962","R.D. ROSS-VPI-1872","R.D. Ross, G. Clemmer & T. Gomez-ibanez"
"AMNH","64759","1","Fundulidae","Fundulus lineolatus","Cape fear river tributary (Brown Marsh Swamp)  on route 701 bridge, 2.7 miles north of clarkton","Bladen",34.525473,-78.648793,"NC","6/28/1969","R.D. ROSS-VPI-2080","R.D. Ross & R.D. Ross"
"AMNH","248896","1","Fundulidae","Fundulus lineolatus","Rhodes Pond, impoundment on Black River at US-301, 6 miles south-southwest of Dunn","Cumberland",35.224843,-78.65573,"NC","3/6/2009","ACT-GP-09-III-06a","A.C. Terceira et al."
"AMNH","63636","7","Fundulidae","Fundulus rathbuni","Aldridge creek, 2 miles east hurdle mills on county route 1134","Person",36.275266,-79.003391,"NC","8/12/1963","R.D. ROSS-VPI-1580","R.L. Miles, R.E. Jenkins & R.D. Ross"
"AMNH","32477","5","Fundulidae","Fundulus rathbuni","Sugartree Creek (south Hyco River) at US 158, 3 miles east of Leasburg","Person",36.385428,-79.107671,"NC","8/30/1946","RMB-46-VIII-30","R.M. Bailey & J.R. Bailey"
"AMNH","64766","3","Fundulidae","Fundulus waccamensis","Lake waccamaw, 1.4 miles west of junction of routes 74, 76,214","Columbus",34.31307,-78.54372,"NC","6/29/1969","R.D. ROSS-VPI-2082","R.D. Ross & R.D. Ross"
"AMNH","64745","30","Fundulidae","Fundulus waccamensis","Lake waccamaw, north shore at lake waccamaw (town) and route 214 and at the ambassador camp (christian) on route 214","Columbus",34.313819,-78.512822,"NC","6/28/1969","R.D. ROSS-VPI-2079","R.D. Ross & Ross"
"AMNH","32480","5","Fundulidae","Fundulus waccamensis","Lake waccamaw, north shore near jones hotel on route 214","Columbus",34.316975,-78.524619,"NC","3/30/1941","ECR-41-III-30","E.C. Raney, E.A. Lachner & R.A. Pfeiffer"
"AMNH","30141","1","Fundulidae","Lucania parva","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"ANSP","7357","52","Fundulidae","Fundulus heteroclitus","Fort Macon.","Carteret",34.685183,-76.691953,"NC","1869","HCY-FM","Dr. Elliott Coues & Dr. H.C. Yarrow"
"ANSP","9800","1","Fundulidae","Fundulus heteroclitus","Fort Macon.","Carteret",34.685183,-76.691953,"NC","1869","HCY-FM","Dr. Elliott Coues & Dr. H.C. Yarrow"
"ANSP","80837","6","Fundulidae","Fundulus heteroclitus","Tidepools at Beaufort.","Carteret",34.704551,-76.636739,"NC","6/24/1942","42-6-24-TB","McLean & Fritz"
"ANSP","75631","16","Fundulidae","Fundulus lineolatus","Swan Lake or Manly Pond on Yadkin Road, 1 mi. from Manly on U.S.Route 1.","Moore",35.188804,-79.381725,"NC","8/26/1940","40-8-26-SL","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","36879","2","Fundulidae","Fundulus lineolatus","Cape Fear River Basin, Wilmington.","New Hanover",34.224173,-77.952924,"NC","1908","HAP08-CFR-5","Dr. H. A. Pilsbry"
"ANSP","205088","1","Fundulidae","Fundulus lineolatus","Gum Swamp Creek","Richmond",34.929444,-79.573056,"NC","6/10/2009","FW08-RNC9085","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP","70884","1","Fundulidae","Fundulus rathbuni","South Yadkin River at Lindsay's Mill","Davie",35.777845,-80.50664,"NC","8/24/1888","DSJ-JR","D. S. Jordan"
"ANSP","176526","1","Fundulidae","Fundulus rathbuni","Cape Fear River Basin: Hector Creek; SR 1403, 1.6 air miles WNW Kipling.","Harnett",35.488045,-78.846358,"NC","8/5/1996","Z176526","M. E. Savacool, S. D. Kirk"
"ANSP","70885","1","Fundulidae","Fundulus rathbuni","Crane Creek on US #1 below bridge.","Moore",35.284625,-79.271637,"NC","8/25/1940","40-8-25-CC","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","77662","4","Fundulidae","Fundulus waccamensis","Lake Waccamaw, NE side; in edge of clear lake, sandy bottom.","Columbus",34.311619,-78.511566,"NC","5/22/1939","39-5-22-LW","Francis Harper"
"AUM","45821","3","Fundulidae","Fundulus confluentus","North Atlantic Ocean, Island Creek, Cape Hatteras National Seashore","",35.12733,-75.92117,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45767","9","Fundulidae","Fundulus confluentus","North Atlantic Ocean, marsh channel, 1.5 miles SW Frisco, Cape Hatteras National Seashore","",35.22515,-75.63891,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45755","39","Fundulidae","Fundulus confluentus","North Atlantic Ocean, swamp, 1.5 miles S Buxton, Cape Hatteras National Seashore","",35.24303,-75.53247,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45650","1","Fundulidae","Fundulus diaphanus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45756","31","Fundulidae","Fundulus diaphanus","North Atlantic Ocean, swamp, 1.5 miles S Buxton, Cape Hatteras National Seashore","Dare",35.24303,-75.53247,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","9188","1","Fundulidae","Fundulus diaphanus","North Atlantic Ocean, A canal of Lake Mattamuskeet","Hyde",35.452037,-76.17513,"NC","6/2/1952","",""
"AUM","38669","20","Fundulidae","Fundulus diaphanus","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, from middle of lake","Hyde",35.491772,-76.214516,"NC","","",""
"AUM","55202","94","Fundulidae","Fundulus diaphanus","Pamlico Sound - North Atlantic Ocean, Lake Mattamuskeet, opening in marsh","Hyde",35.491772,-76.214516,"NC","","","R Fielding"
"AUM","45909","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Cape Lookout Pond, N end of Cape Lookout National Seashore","Carteret",34.93465,-76.21389,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45845","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Ibis Pond, 4 miles SE of mooring pier","Carteret",34.66894,-76.5887,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45942","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89933,-76.25758,"NC","7/8/2004","","R Henderson, C Knight, A Kennon"
"AUM","45915","3","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89916,-76.25769,"NC","7/9/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer, R Henderson, C Knight, A Kennon"
"AUM","45850","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mudflat, 4 miles E of mooring pier","Carteret",34.67019,-76.58775,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45841","7","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45835","1","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Mullet Pond, .75 miles SSE of mooring pier","Carteret",34.68433,-76.64214,"NC","8/4/2003","","Castro, G Thomas, A Kennon"
"AUM","45968","3","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village","Carteret",35.06515,-76.07588,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM","45904","20","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45713","9","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Bald Point, 0.2 miles N Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.27083,-75.51944,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45651","4","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45768","6","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh channel, 1.5 miles SW Frisco, Cape Hatteras National Seashore","Dare",35.22515,-75.63891,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45675","2","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45686","8","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45725","1","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, roadside ditch, 0.1 miles S Buxton, Cape Hatteras National Seashore","Dare",35.26383,-75.52525,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45736","86","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Tidal Creek, Cape Hatteras National Seashore","Dare",35.14047,-75.89292,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45822","11","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, Island Creek, Cape Hatteras National Seashore","Hyde",35.12733,-75.92117,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45815","10","Fundulidae","Fundulus heteroclitus","North Atlantic Ocean, seagrass bed, Cape Hatteras National Seashore","Hyde",35.16381,-75.84525,"NC","8/2/2003","","Castro, A Kennon, G Thomas"
"AUM","5782","83","Fundulidae","Fundulus rathbuni","Back Cr., 2.4 airmi N of Newell, county road","Mecklenburg",35.30526,-80.707144,"NC","6/30/1970","","S Ramsey"
"AUM","53360","3","Fundulidae","Fundulus waccamensis","Waccamaw River - Winyah Bay - North Atlantic Ocean, Lake Waccamaw, 0.5 miles S of Lake Waccamaw","Columbus",34.26333,-78.48972,"NC","10/18/2001","","E Johnston, D.C. Werneke,  Atlantic Slope Class"
"AUM","45846","1","Fundulidae","Lucania parva","North Atlantic Ocean, Ibis Pond, 4 miles SE of mooring pier","Carteret",34.66894,-76.5887,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
