"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","010524","215000000",""
"NCDMF",,3,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","010626","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","CR22C, PETER MASHOES CREEK","",35.951,-75.8105,"NC","010731","301000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","010731","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","020624","215000000",""
"NCDMF",,3,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","050719","215000000",""
"NCDMF",,44,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","060524","215000000",""
"NCDMF",,11,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","060629","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","060830","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","061030","215000000",""
"NCDMF",,7,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","070724","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","070821","215000000",""
"NCDMF",,3,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","090715","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","090814","215000000",""
"NCDMF",,66,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","100524","215000000",""
"NCDMF",,2,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","100621","215000000",""
"NCDMF",,4,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","110525","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","153, EDENTON BAY TO RAILROAD BR.","",36.014,-76.591,"NC","110713","200030000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","1S, NORTH RIVER","",36.193,-75.886,"NC","111017","201000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","33S, PERQUIMANS RIVER","",36.12,-76.346,"NC","120618","205000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","39S, YEOPIM RIVER","",36.08,-76.411,"NC","130612","206000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","130624","215000000",""
"NCDMF",,45,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","140528","215000000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","37, SUTTONS CREEK","",36.164,-76.395,"NC","140609","205030000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","27S, HARVEY PT. TO LITTLE R.","",36.103,-76.2,"NC","140721","200110000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","88S, EAST LAKE","",35.977,-75.861,"NC","140731","214060000",""
"NCDMF",,3,"Gasterosteidae","Apeltes quadracus","BB4, BUZZARD BAY","",35.99852,-75.6815,"NC","140918","216000000",""
"NCDMF",,3,"Gasterosteidae","Apeltes quadracus","153S, EDENTON BAY TO RAILROAD BR.","",36.012,-76.582,"NC","141009","200030000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","88S, EAST LAKE","",35.977,-75.861,"NC","150611","214060000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","126S, DRUMMOND PT. TO HARVEY PT.","",36.088,-76.341,"NC","150706","200090000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","127S, HWY.32 TO DRUMMOND PT.","",36.007,-76.513,"NC","150727","200070000",""
"NCDMF",,11,"Gasterosteidae","Apeltes quadracus","KHB2, KITTY HAWK BAY","",36.03552,-75.70538,"NC","150812","215000000",""
"NCDMF",,2,"Gasterosteidae","Apeltes quadracus","126S, DRUMMOND PT. TO HARVEY PT.","",36.088,-76.341,"NC","150819","200090000",""
"NCDMF",,1,"Gasterosteidae","Apeltes quadracus","1S, NORTH RIVER","",36.193,-75.886,"NC","150916","201000000",""
