"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","3672","2","Ictaluridae","Ictalurus punctatus","Marshall, french broad river","Madison",35.796008,-82.684671,"NC","1912","MLC-12","M.L. Church"
"AMNH","5030","1","Ictaluridae","Pylodictis olivaris","Marshall, french broad river","Madison",35.796008,-82.684671,"NC","1913","MLC-13-SPRING","M.L. Church"
"AMNH","2936","1","Ictaluridae","Ictalurus punctatus","Marshall, french broad river","Madison",35.796008,-82.684671,"NC","1/1/1910","MLC-10-I-01","M.L. Church"
"AMNH","63623","2","Ictaluridae","Noturus insignis","Eno river at bridge on route 501 crossing","Durham",36.072116,-78.908423,"NC","8/12/1963","R.D. ROSS-VPI-1576","R.D. Ross, R.L. Miles & R.E. Jenkins"
"AMNH","62639","1","Ictaluridae","Ameiurus natalis","Dismal swamp, ditch (at right angles to) the loop road 1.7 miles east parkville","Pasquotank",36.29373,-76.366572,"NC","5/23/1968","R.D. ROSS-VPI-1297","R.D. Ross & P.M. Brady"
"AMNH","62640","3","Ictaluridae","Ameiurus nebulosus","Dismal swamp, ditch (at right angles to) the loop road 1.7 miles east parkville","Pasquotank",36.29373,-76.366572,"NC","5/23/1968","R.D. ROSS-VPI-1297","R.D. Ross & P.M. Brady"
"AMNH","62736","18","Ictaluridae","Ameiurus natalis","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","6/6/1968","R.D. ROSS-VPI-1326","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62738","2","Ictaluridae","Ameiurus natalis","Folly Swamp on NC 32 crossing","Gates",36.488821,-76.574957,"NC","6/6/1968","R.D. ROSS-VPI-1327","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62809","1","Ictaluridae","Ameiurus natalis","Little river on rt 1144 crossing, a concrete bridge on the pasquotank-perquimans co. line, 2.2 airmiles w of norfolk/southern rr station in pasquotank","Perquimans",36.268333,-76.377579,"NC","6/7/1968","R.D. ROSS-VPI-1334","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62754","15","Ictaluridae","Ameiurus nebulosus","Taylor Swamp just below Jones Mill Pond near Corapeake","Gates",36.525237,-76.577303,"NC","6/7/1968","R.D. ROSS-VPI-1329","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62808","5","Ictaluridae","Noturus gyrinus","Little river on rt 1144 crossing, a concrete bridge on the pasquotank-perquimans co. line, 2.2 airmiles w of norfolk/southern rr station in pasquotank","Perquimans",36.268333,-76.377579,"NC","6/7/1968","R.D. ROSS-VPI-1334","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","64755","1","Ictaluridae","Ameiurus natalis","Cape fear river tributary (Brown Marsh Swamp)  on route 701 bridge, 2.7 miles north of clarkton","Bladen",34.525473,-78.648793,"NC","6/28/1969","R.D. ROSS-VPI-2080","R.D. Ross & R.D. Ross"
"AMNH","64743","1","Ictaluridae","Ameiurus nebulosus","Singletary Lake (the southern lake), 3.9 miles south of town of White Nake on NC 53","Bladen",34.586372,-78.450222,"NC","6/28/1969","R.D. ROSS-VPI-2078","R.D. Ross & R.D. Ross"
"AMNH","64771","50","Ictaluridae","Ameiurus catus","Lake waccamaw, 1.4 miles west of junction of routes 74, 76,214","Columbus",34.31307,-78.54372,"NC","6/29/1969","R.D. ROSS-VPI-2082","R.D. Ross & R.D. Ross"
"AMNH","64770","1","Ictaluridae","Noturus gyrinus","Lake waccamaw, 1.4 miles west of junction of routes 74, 76,214","Columbus",34.31307,-78.54372,"NC","6/29/1969","R.D. ROSS-VPI-2082","R.D. Ross & R.D. Ross"
"AMNH","66942","7","Ictaluridae","Ameiurus natalis","Newfoundland Drainage Canal, at junction of routes 158 and 1367, 6-7 miles west of Morgan's Corners","Pasquotank",36.431792,-76.449784,"NC","5/9/1971","R.D. ROSS-VPI-2592","M.T. Masnsik, C. Baker, R.D. Ross & J. Crossman"
"AMNH","64870","7","Ictaluridae","Ameiurus natalis","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","7/15/1971","R.D. ROSS-VPI-2171","R.D. Ross, R.D. Ross, K. Dickson, L. Dole, J. Boaze & C.H. Hocutt"
"ANSP","8474","5","Ictaluridae","Ameiurus brunneus","Catawba River (=Catawba River at Morganton)","Burke",35.74967,-81.705324,"NC","1869","EDC-CR","E. D. Cope"
"ANSP","8466","2","Ictaluridae","Ameiurus catus","Neuse River near Raleigh (at Millburnie Dam)","Wake",35.800246,-78.539233,"NC","1869","EDC69-NR-A","E. D. Cope"
"ANSP","8438","2","Ictaluridae","Ameiurus nebulosus","Catawba River (=Catawba River at Morganton)","Burke",35.74967,-81.705324,"NC","1869","EDC-CR","E. D. Cope"
"ANSP","8437","1","Ictaluridae","Noturus insignis","Catawba River (=Catawba River at Morganton)","Burke",35.74967,-81.705324,"NC","1869","EDC-CR","E. D. Cope"
"ANSP","8433","2","Ictaluridae","Noturus insignis","Yadkin River at the plantation of John Kuntz.","Davidson",35.843374,-80.389805,"NC","1869","EDC-YR","E. D. Cope"
"ANSP","71335","1","Ictaluridae","Noturus furiosus","Tar River near Tarboro.","Edgecombe",35.91485,-77.510361,"NC","1/1/1878","Z71335","J. W. Milner"
"ANSP","176509","1","Ictaluridae","Ameiurus natalis","Cape Fear River Basin: tributary to Colly Creek; SR 1548 1.5 air miles NW Rowan.","Bladen",34.526919,-78.282394,"NC","3/25/1997","Z176509","G. B. Mottesi, M. E. Savacool"
"ANSP","177558","2","Ictaluridae","Noturus insignis","Lumber River Basin: tributary to tributary to Drowning Creek;NC73,1.0 air mi ENE Jackson Springs.","Moore",35.212635,-79.617627,"NC","4/15/1997","Z177558","G. B. Mottesi, M. E. Savacool"
"ANSP","205085","1","Ictaluridae","Ameiurus natalis","Gum Swamp Creek","Richmond",34.929444,-79.573056,"NC","6/10/2009","FW08-RNC9085","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP","204764","1","Ictaluridae","Ameiurus nebulosus","Little Creek","Lincoln",35.475697,-81.409583,"NC","6/14/2009","FW08-NC040","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP","204763","1","Ictaluridae","Noturus insignis","Little Creek","Lincoln",35.475697,-81.409583,"NC","6/14/2009","FW08-NC040","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP","54701","4","Ictaluridae","Noturus insignis","Mill Creek, Old Fort.","McDowell",35.627871,-82.184923,"NC","6/22/1930","30-6-22-MC","T. Kerr and J. G. Carlson"
"ANSP","80527","2","Ictaluridae","Ameiurus platycephalus","Broad River, near Bat Cave, basin of the Santee River.","Henderson",35.398423,-78.777941,"NC","6/30/1941","41-7-1-BR","H. W. Fowler Jr."
"ANSP","116404","1","Ictaluridae","Ameiurus brunneus","Cape Fear River, 3 mi SW of Slocomb.","Cumberland",35.141496,-78.851821,"NC","6/4/1970","CAP70-1","N. R. Foster, E. Jankowski"
"ANSP","116405","1","Ictaluridae","Ictalurus punctatus","Cape Fear River, 3 mi SW of Slocomb.","Cumberland",35.141496,-78.851821,"NC","6/4/1970","CAP70-1","N. R. Foster, E. Jankowski"
"ANSP","116436","3","Ictaluridae","Ameiurus brunneus","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski"
"ANSP","116437","1","Ictaluridae","Ameiurus catus","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski"
"ANSP","116438","2","Ictaluridae","Ictalurus punctatus","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski"
"ANSP","116423","3","Ictaluridae","Ameiurus brunneus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP","116424","3","Ictaluridae","Ameiurus catus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP","116425","1","Ictaluridae","Ameiurus platycephalus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP","116426","4","Ictaluridae","Ictalurus punctatus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski"
"ANSP","204750","1","Ictaluridae","Ameiurus natalis","Long Creek","Pender",34.582494,-77.963219,"NC","6/6/2009","FW08-NC023","EPA National Streams & Rivers Assessment (NRSA) team"
"ANSP","116411","5","Ictaluridae","Ameiurus brunneus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","6/7/1970","CAP70-2","N. R. Foster, E. Jankowski"
"ANSP","116412","3","Ictaluridae","Ameiurus catus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","6/7/1970","CAP70-2","N. R. Foster, E. Jankowski"
"ANSP","116413","2","Ictaluridae","Ameiurus platycephalus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","6/7/1970","CAP70-2","N. R. Foster, E. Jankowski"
"ANSP","177513","2","Ictaluridae","Ameiurus natalis","Lumber River Basin: Lumber River;NC72 (boat ramp), 0.25 air mi W NC72 and I-95 intersection.","Robeson",34.624729,-79.054701,"NC","7/17/1996","Z177513","J. M. Alderman, G. B. Mottesi, S. D. Kirk, et. al."
"ANSP","197178","5","Ictaluridae","Noturus gyrinus","Mill Creek (Neuse Dr.) at Rt. 96 bridge, ca. 1.2 km south of Parkers Mill.","Johnston",35.295528,-78.458556,"NC","7/5/2014","MHS-2014-NC-5","M.H. Sabaj"
"ANSP","80522","1","Ictaluridae","Ameiurus natalis","Swan Lake or Manly Pond on Yadkin Road, 1 mi. from Manly on U.S.Route 1.","Moore",35.188804,-79.381725,"NC","8/26/1940","40-8-26-SL","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","78412","1","Ictaluridae","Noturus gyrinus","Chock Creek, on US #1.","Richmond",34.972499,-79.657841,"NC","8/26/1940","40-8-26-CC","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","80530","2","Ictaluridae","Ameiurus natalis","Grant Creek, on US Route 601, north of Salisbury.","Rowan",35.69587,-80.481291,"NC","8/28/1940","40-8-28-GC","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","80537","1","Ictaluridae","Ameiurus natalis","Carter Creek (small creek south of Advance, 1/8 mi.from Yadkin River, on NC 801), Site No. 18.","Davie",35.887982,-80.415377,"NC","8/29/1940","40-8-29-CNA","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","176502","1","Ictaluridae","Ameiurus natalis","Cape Fear River Basin: Ellis Creek tributary; NC 53, 3.0 air miles W Jones Lake.","Bladen",34.670565,-78.642625,"NC","8/29/1996","Z176502","G. B. Mottesi, S. D. Kirk"
"ANSP","80529","1","Ictaluridae","Ameiurus natalis","Dutchmans Creek (small creek on N.C. Route #601, 8 miles south of Yadkinville), Site No. 21.","Davie",36.034017,-80.620206,"NC","8/30/1940","40-8-30-SCY","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","80538","1","Ictaluridae","Ameiurus natalis","South Deep Creek on US 601, SIte No. 26","Yadkin",36.1052,-80.656889,"NC","8/30/1940","40-8-30-SDC","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","89699","1","Ictaluridae","Noturus insignis","South Deep Creek on US 601, SIte No. 26","Yadkin",36.1052,-80.656889,"NC","8/30/1940","40-8-30-SDC","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP","116387","2","Ictaluridae","Ameiurus catus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW  Fayetteville.","Bladen",34.821155,-78.820975,"NC","9/16/1969","CAP69-3","N. R. Foster, E. Jankowski"
"ANSP","116396","5","Ictaluridae","Ameiurus brunneus","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","9/17/1969","CAP69-4","N. R. Foster, E. Jankowski"
"ANSP","116377","8","Ictaluridae","Ameiurus brunneus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","9/18/1969","CAP69-2","N. R. Foster, E. Jankowski"
"ANSP","116378","3","Ictaluridae","Ameiurus catus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","9/18/1969","CAP69-2","N. R. Foster, E. Jankowski"
"ANSP","116379","1","Ictaluridae","Ictalurus punctatus","Cape Fear River at Tolar Landing, 8 mi SSW Fayetteville.","Bladen",34.835418,-78.822925,"NC","9/18/1969","CAP69-2","N. R. Foster, E. Jankowski"
"ANSP","116373","2","Ictaluridae","Ameiurus brunneus","Cape Fear River, 3 mi SW Slocomb.","Cumberland",35.141496,-78.851821,"NC","9/19/1969","CAP69-1","N. R. Foster, E. Jankowski"
"ANSP","116374","1","Ictaluridae","Ictalurus punctatus","Cape Fear River, 3 mi SW Slocomb.","Cumberland",35.141496,-78.851821,"NC","9/19/1969","CAP69-1","N. R. Foster, E. Jankowski"
"ANSP","202189","","Ictaluridae","Ameiurus brunneus","Haw River at US 15-501","Chatham",35.774607,-79.148122,"NC","","Z202189",""
"AUM","5071","39","Ictaluridae","Noturus insignis","Santee River, Eliza Estes Mill Cr., Trib.to Johns R., 3.7 airmi NW of Collettsville","Caldwell",35.962672,-81.708118,"NC","10/22/1970","","E Seehorn"
"AUM","4993","1","Ictaluridae","Noturus insignis","Santee River, Wilson Creek, 4.4 airmi NNW of confluence with Johns River","Burke",35.930088,-81.741828,"NC","11/11/1971","","E Seehorn"
"AUM","21110","2","Ictaluridae","Noturus insignis","Tennessee River, Watauga River, 2 mi S of Boone, Hwy 194","Watauga",36.194295,-81.745137,"NC","3/28/1972","","Adams, L Lindsey"
"AUM","5738","1","Ictaluridae","Noturus insignis","Catawba River, Paddy Cr., 4.3 airmi NW of Bridgewater, Hwy 126","Burke",35.766148,-81.905317,"NC","6/29/1970","","S Ramsey, L Ramsey"
"AUM","5780","1","Ictaluridae","Ameiurus brunneus","Back Cr., 2.4 airmi N of Newell, county road","Mecklenburg",35.30526,-80.707144,"NC","6/30/1970","","S Ramsey"
"AUM","5769","1","Ictaluridae","Noturus insignis","Santee River, Henry Fork, 3.9 airmi NE of Pleasant Grove, Hwy.18","Burke",35.673522,-81.536168,"NC","6/30/1970","","S Ramsey"
