"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35"
"AMNH",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Waccamaw River, NC 904","Columbus",34.01511,-78.631546,"NC","7/19/1962","JRB-62-09","J.R. Bailey",,,,,,,,,,,,,,,,,,,,,,
"AMNH",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Ca. 0.1 mi northwest Cypress Creek, pond ca. 125 yards northwest Ninemile Creek","Duplin",34.758171,-77.70819,"NC","5/10/1986","PMM-86-16","P.M. Mabee & B.N. Danforth",,,,,,,,,,,,,,,,,,,,,,
"ANSP",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW Fayetteville.","Bladen",34.821155,-78.820975,"NC","6/6/1970","CAP70-3","N. R. Foster, E. Jankowski",,,,,,,,,,,,,,,,,,,,,,
"ANSP",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski",,,,,,,,,,,,,,,,,,,,,,
"ANSP",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Cape Fear River, 3 mi SW Slocomb.","Cumberland",35.141496,-78.851821,"NC","9/19/1969","CAP69-1","N. R. Foster, E. Jankowski",,,,,,,,,,,,,,,,,,,,,,
"ANSP",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Mill Creek (Neuse Dr.) at Rt. 96 bridge, ca. 1.2 km south of Parkers Mill.","Johnston",35.295528,-78.458556,"NC","7/5/2014","MHS-2014-NC-5","M.H. Sabaj",,,,,,,,,,,,,,,,,,,,,,
"INHS",TRUE,"1","Lepisosteidae","Lepisosteus osseus","Lake Waccamaw, Waccamaw","Columbus",34.261294,-78.479959,"NC","6/15/1976","","L.M. Page, B.M. Burr & D.G. Buth",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.46056,-76.97361,"NC","000406","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.49167,-77.02583,"NC","000406","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","UPSTREAM OF MAULS PT/RAGGED PT","",35.49278,-77.0225,"NC","000406","528000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","SOUTHWEST CREEK","",34.70194,-77.4175,"NC","000411","1201030200","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"1","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.13861,-77.05083,"NC","000413","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"5","Lepisosteidae","Lepisosteus osseus","ABOVE NEW BERN","",35.14167,-77.04556,"NC","000413","535000300","",,,,,,,,,,,,,,,,,,,,,,
"NCDMF",,"2","Lepisosteidae","Lepisosteus osseus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.93167,-76.72361,"NC","000418","535000100","",,,,,,,,,,,,,,,,,,,,,,
