"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",98161,3,"Moronidae","Morone chrysops","Lake Burlington","Alamance",36.194932,-79.411549,"NC","1984","JRW-84-SPRNG","J.R. Waldman"
"AMNH",94092,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94094,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94097,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94091,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94093,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94095,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94096,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94098,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94099,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94100,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94101,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94102,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94103,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94104,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94105,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94106,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94107,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94108,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/8/1989","JRW-89-V-08","J.R. Waldman & et al."
"AMNH",94110,1,"Moronidae","Morone saxatilis","Roanoke river at weldon","Halifax",36.430632,-77.59045,"NC","5/9/1989","JRW-89-V-09","J.R. Waldman & et al."
