"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","64329",4,"Mugilidae","Mugil cephalus","Bogue Sound at UNC-IMS beach","Carteret",34.722437,-76.75263,"NC","7/8/1962","R.D. ROSS-VPI-1861","G. Clemmer, T. Gomez-ibanez & R.D. Ross"
"ANSP","81725",1,"Mugilidae","Mugil cephalus","Southport.","Brunswick",33.910801,-78.01338,"NC","5/8/1911","08-5-8-S","Dr. H. A. Pilsbry"
"ANSP","9782",12,"Mugilidae","Mugil cephalus","Fort Macon.","Carteret",34.685183,-76.691953,"NC","1869","HCY-FM","Dr. Elliott Coues & Dr. H.C. Yarrow"
"AUM","45939",1,"Mugilidae","Mugil cephalus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89933,-76.25758,"NC","7/8/2004","","R Henderson, C Knight, A Kennon"
"AUM","45839",3,"Mugilidae","Mugil cephalus","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45834",6,"Mugilidae","Mugil cephalus","North Atlantic Ocean, Mullet Pond, .75 miles SSE of mooring pier","Carteret",34.68433,-76.64214,"NC","8/4/2003","","Castro, G Thomas, A Kennon"
"AUM","45985",187,"Mugilidae","Mugil cephalus","North Atlantic Ocean, Old Drum Inlet, Cape Lookout National Seashore","Carteret",34.88067,-76.28136,"NC","7/8/2004","","C Knight, T Wilkes, M Farmer"
"AUM","45963",4,"Mugilidae","Mugil cephalus","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village","Carteret",35.06515,-76.07588,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM","45902",5,"Mugilidae","Mugil cephalus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45998",7,"Mugilidae","Mugil cephalus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.95175,-76.19828,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45648",3,"Mugilidae","Mugil cephalus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45673",3,"Mugilidae","Mugil cephalus","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"CAS","91863",4,"Mugilidae","Mugil cephalus","Beaufort Harbor, Beaufort.","Carteret",34.71125,-76.644043,"NC","","","Evermann, Barton W."
"CUMV","33576",24,"Mugilidae","Mugil cephalus","Pamlico R., ±4.5 mi. SE of Wichard's Beach","Beaufort",35.462273,-76.956653,"NC","7/11/1955","EED NC-495","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV","7228",1,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","11/29/1910","APJ7228-230","A. Jacot"
"CUMV","7229",11,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","11/29/1910","APJ7228-230","A. Jacot"
"CUMV","6879",3,"Mugilidae","Mugil cephalus","Beaufort; Shackelford Banks at Mullet Pond","Carteret",34.684455,-76.64076,"NC","8/21/1909","FH 13AUG22","Francis Harper"
"CUMV","49575",3,"Mugilidae","Mugil cephalus","Bogue Sound by University of NC Institute of Fisheries Reaserch, Morehead City","Carteret",34.721225,-76.752499,"NC","6/29/1955","NRF 1959JUL","Neal Foster"
"CUMV","48071",5,"Mugilidae","Mugil cephalus","Morehead City-Bogue Sound - pier behind Morehead Biltmore","Carteret",34.725228,-76.784883,"NC","9/2/1960","TWR 059","William Kaill;  Neal Foster;  Timothy Robbins"
"CUMV","6883",1,"Mugilidae","Mugil cephalus","Newport R. at Beaufort","Carteret",34.72129,-76.690981,"NC","8/6/1909","FH 13AUG07","Francis Harper"
"CUMV","23543",1,"Mugilidae","Mugil cephalus","Albemarle Sound at N end of bridge at Rt. 32","Chowan",35.994288,-76.471354,"NC","8/27/1949","ECR 2413","Edward Raney;  Charles Robins;  William Woolcott"
"CUMV","33618",1,"Mugilidae","Mugil cephalus","Neuse R. at mouth of Adams Cr.","Craven",34.961977,-76.685966,"NC","7/13/1955","BJR 137","Brian Rothschild; M/V Machapunga"
"CUMV","30196",4,"Mugilidae","Mugil cephalus","Flanners Beach, 6 mi. N of Havelock","Craven",34.985541,-76.943926,"NC","3/24/1952","ECR 2758","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","30198",210,"Mugilidae","Mugil cephalus","Flanners Beach, 6 mi. N of Havelock","Craven",34.985541,-76.943926,"NC","3/24/1952","ECR 2758","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","30540",2,"Mugilidae","Mugil cephalus","Mouth of Trent R. at New Bern","Craven",35.100536,-77.042037,"NC","8/3/1952","CFC 299","Charles Cole;  Rudolph Miller"
"CUMV","33556",1,"Mugilidae","Mugil cephalus","Neuse R. at Garbacon Shoal","Craven",35.016773,-76.692815,"NC","6/21/1955","BJR 125","Brian Rothschild; M/V Machapunga"
"CUMV","33479",11,"Mugilidae","Mugil cephalus","Neuse R. at New Bern","Craven",35.101895,-77.025023,"NC","7/11/1955","EED NC-496","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV","33536",2,"Mugilidae","Mugil cephalus","Pamlico Sound at mouth of Bay R.","Pamlico",35.166561,-76.535627,"NC","7/14/1955","EED NC-500","E. Deubler;  Brian Rothchild; M/V Machapunga"
"CUMV","33651",1,"Mugilidae","Mugil cephalus","Pamlico Sound at mouth of Bay R.","Pamlico",35.166561,-76.535627,"NC","7/14/1955","EED NC-500","E. Deubler;  Brian Rothchild; M/V Machapunga"
"FMNH","51368",1,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","","","A. C. Weed"
"FMNH","57037",2,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","","",""
"FMNH","73933",1,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","1/7/1931","",""
"FMNH","94988",10,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","","","A. C. Weed"
"FMNH","95999",2,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","9/13/1941","","A. C. Weed"
"FMNH","96068",1,"Mugilidae","Mugil cephalus","Beaufort","Carteret",34.71125,-76.644043,"NC","","",""
"FMNH","95997",5,"Mugilidae","Mugil cephalus","Mullet Ponds, Biological Lab, Beaufort","Carteret",34.684455,-76.64076,"NC","9/18/1941","","A. C. Weed"
"FMNH","95992",5,"Mugilidae","Mugil cephalus","Mullet Ponds, Biological Lab, Beaufort","Carteret",34.684455,-76.64076,"NC","9/18/1941","","A. C. Weed"
"FMNH","95993",3,"Mugilidae","Mugil cephalus","Mullet Ponds, Biological Lab, Beaufort","Carteret",34.684455,-76.64076,"NC","9/18/1941","","A. C. Weed"
"KU","5371",7,"Mugilidae","Mugil cephalus","North River Estuary, 3.5 mi. NE Beaufort","Carteret",34.765222,-76.620492,"NC","7/8/1960","","Metcalf, Artie L"
"NCDMF","",18,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44056,-76.915,"NC","000104","528000300",""
"NCDMF","",21,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44667,-76.97083,"NC","000104","528000300",""
"NCDMF","",15,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44861,-76.83889,"NC","000106","528000200",""
"NCDMF","",11,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45917,-76.87917,"NC","000106","528000200",""
"NCDMF","",20,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",34.99,-76.95611,"NC","000112","535000200",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","UPPER NEW RIVER","",34.73722,-77.4325,"NC","000112","1201030000",""
"NCDMF","",11,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",34.94083,-76.82639,"NC","000113","535000200",""
"NCDMF","",26,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44917,-76.82833,"NC","000302","528000200",""
"NCDMF","",44,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45111,-76.82472,"NC","000302","528000200",""
"NCDMF","",10,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.49528,-77.03639,"NC","000302","528000300",""
"NCDMF","",4,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.50472,-77.03778,"NC","000302","528000300",""
"NCDMF","",12,"Mugilidae","Mugil cephalus","DRNT/PNGO PT-SNDY/OFLD","",35.50528,-76.6275,"NC","000307","528060002",""
"NCDMF","",5,"Mugilidae","Mugil cephalus","DRNT/PNGO PT-SNDY/OFLD","",35.50833,-76.58694,"NC","000307","528060002",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.08111,-77.00139,"NC","000307","535000200",""
"NCDMF","",3,"Mugilidae","Mugil cephalus","GUM PT./GARRISON PT. TO MOUTH","",35.42167,-76.69972,"NC","000308","528000100",""
"NCDMF","",33,"Mugilidae","Mugil cephalus","GUM PT./GARRISON PT. TO MOUTH","",35.42778,-76.71167,"NC","000308","528000100",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.03694,-76.93278,"NC","000308","535000200",""
"NCDMF","",11,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.04639,-76.94722,"NC","000308","535000200",""
"NCDMF","",4,"Mugilidae","Mugil cephalus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.98083,-76.76806,"NC","000314","535000100",""
"NCDMF","",20,"Mugilidae","Mugil cephalus","MOUTH TO CHERRY PT/WILKINSON PT.","",35.00278,-76.72111,"NC","000314","535000100",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","NEW RIVER","",34.75611,-77.43694,"NC","000314","1201030100",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.39889,-76.81222,"NC","000316","528000200",""
"NCDMF","",14,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44194,-76.94694,"NC","000316","528000300",""
"NCDMF","",21,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.47361,-76.98833,"NC","000316","528000300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","MORGAN BAY","",34.70667,-77.38889,"NC","000328","1201020300",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42778,-76.8575,"NC","000406","528000200",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.43583,-76.88694,"NC","000406","528000200",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","UPPER NEW RIVER","",34.73833,-77.43611,"NC","000411","1201030000",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","ABOVE NEW BERN","",35.14167,-77.04556,"NC","000413","535000300",""
"NCDMF","",8,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.51028,-77.02694,"NC","000425","528000300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.52889,-77.05083,"NC","000425","528000300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","MORGAN BAY","",34.70417,-77.4075,"NC","000425","1201020300",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","UPPER NEW RIVER","",34.73944,-77.42694,"NC","000425","1201030000",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","NORTHEAST CREEK","",34.71917,-77.41722,"NC","000425","1201030300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","FARNELL BAY","",34.65194,-77.36139,"NC","000426","1201020200",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.07056,-76.99139,"NC","000502","535000200",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","NORTHEAST CREEK","",34.72111,-77.39556,"NC","000503","1201030300",""
"NCDMF","",4,"Mugilidae","Mugil cephalus","NORTHEAST CREEK","",34.72139,-77.40611,"NC","000503","1201030300",""
"NCDMF","",5,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.455,-76.86556,"NC","000504","528000200",""
"NCDMF","",16,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45944,-76.8925,"NC","000504","528000200",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.45639,-76.90778,"NC","000504","528000300",""
"NCDMF","",6,"Mugilidae","Mugil cephalus","BLOUNTS BAY","",35.4375,-77.95972,"NC","000504","528290000",""
"NCDMF","",13,"Mugilidae","Mugil cephalus","MOUTH TO CHERRY PT/WILKINSON PT.","",34.9875,-76.63444,"NC","000512","535000100",""
"NCDMF","",22,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45472,-76.86389,"NC","000516","528000200",""
"NCDMF","",26,"Mugilidae","Mugil cephalus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.45667,-76.86694,"NC","000516","528000200",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","SSI1, ALLIGATOR BAY","",34.517,-77.424,"NC","000516","1301010000",""
"NCDMF","",16,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44778,-76.93278,"NC","000517","528000300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.49806,-76.99556,"NC","000517","528000300",""
"NCDMF","",3,"Mugilidae","Mugil cephalus","UPSTREAM OF MAULS PT/RAGGED PT","",35.49806,-76.99889,"NC","000517","528000300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","CN10, BLOSSOM POND CREEK","",35.18917,-76.61223,"NC","000517","534060100",""
"NCDMF","",15,"Mugilidae","Mugil cephalus","NORTHEAST CREEK","",34.70583,-77.39583,"NC","000518","1201030300",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","NORTHEAST CREEK","",34.71944,-77.40056,"NC","000518","1201030300",""
"NCDMF","",5,"Mugilidae","Mugil cephalus","ABOVE NEW BERN","",35.14139,-77.04417,"NC","000523","535000300",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","FARNELL BAY","",34.64583,-77.37083,"NC","000524","1201020200",""
"NCDMF","",3,"Mugilidae","Mugil cephalus","MORGAN BAY","",34.68972,-77.37778,"NC","000524","1201020300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","SQB3, OYSTER CREEK","",35.385,-76.312,"NC","000524","522020000",""
"NCDMF","",15,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",34.99472,-76.96278,"NC","000525","535000200",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.05778,-76.97,"NC","000525","535000200",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","FARNELL BAY","",34.62639,-77.3575,"NC","000525","1201020200",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","FC5, WAUPOPIN CREEK","",35.523,-75.978,"NC","000525","506010000",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","MORGAN BAY","",34.72361,-77.42083,"NC","000601","1201020300",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","13, PETTIFORD CREEK","",34.709,-77.076,"NC","000605","1001030100",""
"NCDMF","",2,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.04306,-76.98722,"NC","000606","535000200",""
"NCDMF","",12,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.06444,-77.00611,"NC","000606","535000200",""
"NCDMF","",5,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.06944,-77.01306,"NC","000606","535000200",""
"NCDMF","",1,"Mugilidae","Mugil cephalus","CHERRY PT/WILK. PT TO NEW BERN","",35.07056,-77.0075,"NC","000606","535000200",""
