"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors","...14"
"ANSP",TRUE,1,"Paralichthyidae","Paralichthys lethostigma","Southport.",,33.910801,-78.01338,"NC","1908","HAP08-S-5",,
"CUMV",TRUE,1,"Paralichthyidae","Paralichthys lethostigma","Albemarle Sound at N end of bridge at Rt. 32",,35.994288,-76.471354,"NC","8/28/1935","ECR 2413",,
"CUMV",TRUE,14,"Paralichthyidae","Paralichthys lethostigma","Flanners Beach, 6 mi. N of Havelock",,34.985541,-76.943926,"NC","3/25/1956","ECR 2758",,
"FMNH",TRUE,1,"Paralichthyidae","Paralichthys lethostigma","Bight by Duke Mess Hall, Beaufort",,34.716743,-76.673664,"NC","9/13/1941","",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","SR9, GIBBS CREEK",,33.917,-78.36,"NC","060612","2101010000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","SR9, GIBBS CREEK",,33.917,-78.36,"NC","070521","2101010000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","020513","2101000000",,
"NCDMF",,4,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","030514","2101000000",,
"NCDMF",,6,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","040518","2101000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","050510","2101000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","050609","2101000000",,
"NCDMF",,1,"Paralichthyidae","Paralichthys lethostigma","SR1, SHALLOTTE RIVER",,33.956,-78.364,"NC","060512","2101000000",,
"NCDMF",,2,"Paralichthyidae","Paralichthys lethostigma","SR12, SHALLOTTE RIVER",,33.972,-78.379,"NC","030515","2101000000",,
"NCDMF",,3,"Paralichthyidae","Paralichthys lethostigma","CFR4, NORTH OF SNOW’S CUT",,34.124,-77.929,"NC","050517","1901030200",,
"NCDMF",,16,"Paralichthyidae","Paralichthys lethostigma","CF12, NORTH OF SNOW’S CUT",,34.16167,-77.95583,"NC","030307","1901030200",,
