"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AUM",5913,"1","Petromyzontidae","Ichthyomyzon greeleyi","French Broad River - Tennessee River, Bent Cr., below Lake Powhatan, 2.7 airmi WNW","Buncombe",35.500661,-82.599448,"NC","8/17/1972","","Seehorn,  Harshbarger"
"CUMV",37905,"2","Petromyzontidae","Ichthyomyzon greeleyi","Mills R. on secondary rd. above South Mills R.","Henderson",35.392732,-82.609276,"NC","6/6/1957","WJR 096","William Richards;  Robert Miller;  Gilbert Bane"
"CUMV",74900,"1","Petromyzontidae","Ichthyomyzon greeleyi","Mills R., 2.3 mi. W NC 191","Henderson",35.392732,-82.609276,"NC","6/3/1964","TZ 193","Timothy Zorach;  L. Jones"
"CUMV",74917,"11","Petromyzontidae","Ichthyomyzon greeleyi","Cullasaja River, 7.3 mi. SE Franklin (jct. rts. 64 & 441) on rt. 64","Macon",35.170344,-83.365158,"NC","6/4/1964","TZ 196","Timothy Zorach;  L. Jones"
"CUMV",8529,"1","Petromyzontidae","Lampetra aepyptera","Small trib. of Little Cr., 1.5 mi. NE of Wendell","Wake",35.79561,-78.347856,"NC","4/5/1936","ECR 0744","Ernest Lachner;  Edward Raney;  James Kezer"
"INHS",64028,"8","Petromyzontidae","Ichthyomyzon greeleyi","Swannanoa River, Swannanoa","Buncombe",35.60094,-82.40825,"NC","5/27/1988","","L.M. Page, P.A. Ceas & C.E. Johnston"
"INHS",44637,"2","Petromyzontidae","Ichthyomyzon greeleyi","Cullasaja River, 5 mi SE Franklin, bridge off U.S. Rt. 64/NC 28","Macon",35.144341,-83.309824,"NC","1/12/1998","","M.H. Sabaj"
"INHS",44999,"4","Petromyzontidae","Ichthyomyzon greeleyi","Ellijay Creek, 4.5 mi ESE Franklin, 0.5 mi E U.S. Rt 64/S.R. 28","Macon",35.16618,-83.3073,"NC","1/12/1998","","M.H. Sabaj"
"INHS",64816,"1","Petromyzontidae","Ichthyomyzon greeleyi","Tessentee Creek, 2 mi NE Otto, Tessentee Rd.","Macon",35.07282,-83.34727,"NC","5/8/1989","","C.A. Mayer & C.E. Johnston"
"INHS",64846,"1","Petromyzontidae","Ichthyomyzon greeleyi","Tessentee Creek, 2 mi NE Otto, Tessentee Rd.","Macon",35.07282,-83.34727,"NC","5/30/1989","","C.E. Johnston & J. Benardo"
"INHS",86949,"3","Petromyzontidae","Ichthyomyzon greeleyi","Tuckasegee River, Ela","Swain",35.452448,-83.393985,"NC","5/22/1980","","L.M. Page, W.L. Keller & L.E. Cordes"
"MCZ",59160,"3","Petromyzontidae","Ichthyomyzon greeleyi","Bent Cr. at Rt. 191, just above jct. with French Broad River, S of Asheville.","Buncombe",35.501849,-82.593846,"NC","4/16/1978","","Fred C. Rohde, Steve W. Ross, G. Link"
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","UPSTREAM OF MAULS PT/RAGGED PT","",35.51,-77.02611,"NC","060314","528000300",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","UPSTREAM OF MAULS PT/RAGGED PT","",35.48194,-76.96972,"NC","070321","528000300",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","UPSTREAM OF MAULS PT/RAGGED PT","",35.44556,-76.96861,"NC","040421","528000300",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","CHERRY PT/WILK. PT TO NEW BERN","",34.99167,-76.95722,"NC","100309","535000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","CHERRY PT/WILK. PT TO NEW BERN","",34.97333,-76.93167,"NC","090218","535000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.42694,-76.8775,"NC","050307","528000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","CHERRY PT/WILK. PT TO NEW BERN","",35.00333,-76.87583,"NC","040223","535000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","CHERRY PT/WILK. PT TO NEW BERN","",34.94222,-76.82417,"NC","090226","535000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","CHERRY PT/WILK. PT TO NEW BERN","",34.94639,-76.82,"NC","070314","535000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","MAULS PT/RGGD PT-GUM PT/GRRSN PT","",35.44056,-76.81194,"NC","090311","528000200",""
"NCDMF",,"1","Petromyzontidae","Petromyzon marinus","GAYLORD BAY","",35.42056,-76.75611,"NC","090324","528090000",""
