"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH",64379,16,"Poeciliidae","Gambusia holbrooki","Old Ford Swamp, 6 miles north of Washington on US 17","Beaufort",35.63121,-77.06296,"NC","7/11/1962","R.D. ROSS-VPI-1872","R.D. Ross, G. Clemmer & T. Gomez-ibanez"
"AMNH",64752,19,"Poeciliidae","Gambusia holbrooki","Cape fear river tributary (Brown Marsh Swamp)  on route 701 bridge, 2.7 miles north of clarkton","Bladen",34.525473,-78.648793,"NC","6/28/1969","R.D. ROSS-VPI-2080","R.D. Ross & R.D. Ross"
"AMNH",20634,1,"Poeciliidae","Gambusia holbrooki","3.3 miles north of supply","Brunswick",34.060713,-78.293053,"NC","9/5/1964","JDA-64-IX-05","J.D. Anderson & C.H. Eigenman"
"AMNH",62725,3,"Poeciliidae","Gambusia holbrooki","Joyce creek (tributary of pasquotank river, an effluent of dismal swamp), 0.8 miles south of tar corner, route 1224 crossing","Camden",36.466352,-76.288106,"NC","6/6/1968","R.D. ROSS-VPI-1325","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",62615,3,"Poeciliidae","Gambusia holbrooki","Pasquotank river swamp, at route 17 bridge, 1.1 mile southwest south mills","Camden",36.433696,-76.338961,"NC","5/23/1968","R.D. ROSS-VPI-1295","R.D. Ross & P.M. Brady"
"AMNH",228777,215,"Poeciliidae","Gambusia holbrooki","Cove creek, at US 70, east of cove city (SR 1005)","Craven",35.183063,-77.306633,"NC","3/20/1968","RWB-68-037","R.W. Bouchard & L. Lebo"
"AMNH",30134,1,"Poeciliidae","Gambusia holbrooki","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"AMNH",62523,10,"Poeciliidae","Gambusia holbrooki","Folly Swamp on NC 32 crossing","Gates",36.488821,-76.574957,"NC","5/11/1968","R.D. ROSS-VPI-1275","R.D. Ross & R.D. Ross"
"AMNH",62741,16,"Poeciliidae","Gambusia holbrooki","Folly Swamp on NC 32 crossing","Gates",36.488821,-76.574957,"NC","6/6/1968","R.D. ROSS-VPI-1327","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH",62539,1,"Poeciliidae","Gambusia holbrooki","Taylor Swamp just below Jones Mill Pond near Corapeake","Gates",36.525237,-76.577303,"NC","5/11/1968","R.D. ROSS-VPI-1282","R.D. Ross & R.D. Ross"
"AMNH",66941,8,"Poeciliidae","Gambusia holbrooki","Newfoundland Drainage Canal, at junction of routes 158 and 1367, 6-7 miles west of Morgan's Corners","Pasquotank",36.431792,-76.449784,"NC","5/9/1971","R.D. ROSS-VPI-2592","M.T. Masnsik, C. Baker, R.D. Ross & J. Crossman"
"ANSP",176515,1,"Poeciliidae","Gambusia holbrooki","Cape Fear River Basin: tributary to Colly Creek; SR 1548, 1.5 air miles NW Rowan.","Bladen",34.526919,-78.282394,"NC","3/25/1997","Z176515","G. B. Mottesi, M. E. Savacool"
"ANSP",116388,4,"Poeciliidae","Gambusia holbrooki","Cape Fear River, 1 mi S of Tolar Landing, 9 mi SSW  Fayetteville.","Bladen",34.821155,-78.820975,"NC","9/16/1969","CAP69-3","N. R. Foster, E. Jankowski"
"ANSP",116439,3,"Poeciliidae","Gambusia holbrooki","Cape Fear River, 1.25 mi ESE of Duart.","Bladen",34.784701,-78.798187,"NC","6/5/1970","CAP70-4","N. R. Foster, E. Jankowski"
"ANSP",83616,10,"Poeciliidae","Gambusia holbrooki","White Lake.","Bladen",34.643514,-78.498492,"NC","5/21/1939","39-5-21-WL","Francis Harper"
"ANSP",80479,2,"Poeciliidae","Gambusia holbrooki","Haw River in basin of the Cape Fear River, on Route U.S.#1 at bridge; 'water muddy, also bottom'.","Chatham",35.632196,-79.060976,"NC","8/25/1940","40-8-25-HR","G. A. Coventry, C. B. Peterson, F. A. Ulmer, Jr."
"ANSP",55925,2,"Poeciliidae","Gambusia holbrooki","Lake Waccamaw.","Columbus",34.287784,-78.511122,"NC","4/4/1932","32-4-4-LW","Francis Harper"
"ANSP",83605,4,"Poeciliidae","Gambusia holbrooki","6 miles S. of Hallsboro.","Columbus",34.244573,-78.617243,"NC","5/25/1939","39-5-25-H","Francis Harper"
"ANSP",197151,8,"Poeciliidae","Gambusia holbrooki","Flat Branch of Cole Creek (Chowan Dr.) at Sheppard Landing Rd. bridge (Co. Rt. 1225).","Gates",36.466556,-76.799333,"NC","7/26/2014","MHS-2014-NC-2","M.H. Sabaj, M.C. Sabaj Pérez, M.S. Sabaj Pérez"
"ANSP",176356,2,"Poeciliidae","Gambusia holbrooki","Tar River Basin: Little Fishing Creek;off Discovery Trail.","Halifax",36.466556,-76.799333,"NC","10/27/1995","Z176356","G. B. Mottesi, M. E. Savacool"
