"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","66219","1","Salmonidae","Oncorhynchus mykiss","South fork of new river at US 421/US 221, east of Boone","Watauga",36.220815,-81.639948,"NC","25852","R.D. ROSS-VPI-2501","R.D. Ross, K. Dickson, R.D. Ross & F. Benfield"
"AMNH","12090","1","Salmonidae","Salvelinus fontinalis","South Beaver creek, spillway near post office","Ashe",36.343855,-81.443401,"NC","8241","CMB-22-VII-24","C.M. Breder & R. Breder"
"AMNH","12093","1","Salmonidae","Salvelinus fontinalis","South Beaver creek, spillway near post office","Ashe",36.343855,-81.443401,"NC","8241","CMB-22-VII-24","C.M. Breder & R. Breder"
"AMNH","66214","2","Salmonidae","Salvelinus fontinalis","South fork of new river on county road 1331","Watauga",36.244294,-81.632276,"NC","25852","R.D. ROSS-VPI-2500","No Name & R.D. Ross"
"ANSP","197147","2","Salmonidae","Oncorhynchus mykiss","Big Creek (Pigeon Dr.) at Big Creek campsite.","Haywood",35.750762,-83.108976,"NC","7/26/2014","MHS-2014-NC-4","M.H. Sabaj, M.C. Sabaj Pérez, M.S. Sabaj Pérez"
"ANSP","197148","1","Salmonidae","Salmo trutta","Big Creek (Pigeon Dr.) at Big Creek campsite.","Haywood",35.750762,-83.108976,"NC","7/26/2014","MHS-2014-NC-4","M.H. Sabaj, M.C. Sabaj Pérez, M.S. Sabaj Pérez"
"AUM","61618","1","Salmonidae","Oncorhynchus mykiss","Yadkin River - Pee Dee River, Yadkin river, upstream of Richland Road, 7.88 km SE of Blowing Rock","Caldwell",36.08708,-81.59859,"NC","8/17/2013","","D.C. Werneke, M Holcomb"
"AUM","61587","3","Salmonidae","Oncorhynchus mykiss","Little Tennessee River - Tennessee River - Mississippi River, Sawmill Creek, ~50 m upstream of confluence with Little Tennessee River, near boat launch on Lower Sawmill Creek Road, 9.43 km SW of Bryson City","Swain",35.35614,-83.5065,"NC","8/16/2013","","D.C. Werneke, M Holcomb"
"AUM","26120","1","Salmonidae","Oncorhynchus mykiss","French Broad River - Tennessee River, Cathy's Cr., 1 mi upstream from US Hwy 64","Transylvania",35.21111,-82.78333,"NC","8/23/1991","","Bart,  Taylor,  Harbaugh"
"AUM","61562","1","Salmonidae","Oncorhynchus mykiss","New River - Ohio River - Mississippi River, Meat Camp Creek, upstream of Meat Camp Road, 1.25 miles WSW of Soda Hill","Watauga",36.27185,-81.6589,"NC","8/15/2013","","D.C. Werneke, M Holcomb, A Perkins"
"AUM","61571","4","Salmonidae","Oncorhynchus mykiss","New River - Ohio River - Mississippi River, Middle Fork New River, along Highway 321, 5.2 km S of Boone","Watauga",36.16621,-81.64732,"NC","8/15/2013","","D.C. Werneke, M Holcomb, A Perkins"
"AUM","61555","6","Salmonidae","Oncorhynchus mykiss","New River - Ohio River - Mississippi River, tributary of Norris Creek, along Ball Branch Road, 2.75 miles W of Soda Hill","Watauga",36.28212,-81.68601,"NC","8/15/2013","","D.C. Werneke, M Holcomb, A Perkins"
"AUM","61550","4","Salmonidae","Salmo trutta","New River - Ohio River - Mississippi River, North Fork New River and tributary, upstream of West Peak Road, 1 mile NNE of Sutherland","Ashe",36.4072,-81.68091,"NC","8/15/2013","","D.C. Werneke, M Holcomb"
"AUM","61619","1","Salmonidae","Salmo trutta","Little Tennessee River - Tennessee River - Mississippi River, Cullasaja River, upstream of Turtle Pond Road [SR1620], 5.35 km NW of Highlands","Macon",35.07654,-83.24897,"NC","8/16/2013","","D.C. Werneke, M Holcomb"
"AUM","34304","9","Salmonidae","Salmo trutta","Savannah River, Chattooga River, Bullpen bridge; Horsecove Road, 3.5 miles SE of Highland","Macon",35.01825,-83.12565,"NC","7/21/2001","","E Johnston, D.C. Werneke, P Pera,  Nordfelt,  Herrington,  Winter-Hartup,  McNulty"
"AUM","61561","4","Salmonidae","Salmo trutta","New River - Ohio River - Mississippi River, Meat Camp Creek, upstream of Meat Camp Road, 1.25 miles WSW of Soda Hill","Watauga",36.27185,-81.6589,"NC","8/15/2013","","D.C. Werneke, M Holcomb, A Perkins"
"AUM","61570","2","Salmonidae","Salvelinus fontinalis","New River - Ohio River - Mississippi River, Middle Fork New River, along Highway 321, 5.2 km S of Boone","Watauga",36.16621,-81.64732,"NC","8/15/2013","","D.C. Werneke, M Holcomb, A Perkins"
