"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","64325",1,"Sciaenidae","Leiostomus xanthurus","Bogue Sound at UNC-IMS beach","Carteret",34.722437,-76.75263,"NC","7/8/1962","R.D. ROSS-VPI-1861","G. Clemmer, T. Gomez-ibanez & R.D. Ross"
"AMNH","65271",2,"Sciaenidae","Leiostomus xanthurus","Newport river and core creek","Carteret",34.772276,-76.684083,"NC","9/17/1969","R.D. ROSS-VPI-2330","R.D. Ross, F.J. Schwartz, J. Kellum & T. Kellum"
"AMNH","30137",103,"Sciaenidae","Leiostomus xanthurus","Currituck sound, kitty hawk","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-14","G.J. Nelson"
"AMNH","30149",29,"Sciaenidae","Leiostomus xanthurus","Kitty hawk and 5 miles north","Dare",36.114536,-75.744037,"NC","8/1/1971","GJN-71-12=13","G.J. Nelson & B.G. Larson"
"AMNH","221563",1,"Sciaenidae","Leiostomus xanthurus","Beaufort, north carolina bureau of fisheries bogue sound","Carteret",34.718954,-76.676276,"NC","","USNM-21-V-12 B",""
"AUM","45708",4,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, bay at Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79397,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45679",1,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, marsh pond, 3.0 miles NNW of Oregon inlet, hwy 12, Cape Hatteras National Park","Dare",35.81986,-75.56241,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45695",5,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Oregon Inlet Fishing Center, 0.3 miles NNW Oregon Inlet, hwy 12, Cape Hatteras National Seashore","Dare",35.79387,-75.54861,"NC","7/29/2003","","Castro, A Kennon, G Thomas"
"AUM","45720",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Bald Point, 0.2 miles N Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.27083,-75.51944,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45656",2,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, marsh channel, 0.3 miles SSE of park entrance, hwy 12, Cape Hatteras National Seashore","Dare",35.89433,-75.59375,"NC","7/30/2003","","Castro, A Kennon, G Thomas"
"AUM","45781",5,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Sandy Bay, 5.0 miles SW Frisco, hwy 12, Cape Hatteras National Seashore","Dare",35.22003,-75.66039,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45749",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, seagrass bed, 2.0 miles SW Buxton, hwy 12, Cape Hatteras National Seashore","Dare",35.26043,-75.52156,"NC","7/31/2003","","Castro, A Kennon, G Thomas"
"AUM","45798",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, sound at sand dump, N end of Ocracoke Island, Cape Hatteras National Seashore, 0.5 miles NW of ferry dock","Dare",35.19011,-75.78458,"NC","8/1/2003","","Castro, A Kennon, G Thomas"
"AUM","45867",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Cape Lookout bight","Carteret",34.63769,-76.54156,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45855",4,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Mudflat, 4 miles E of mooring pier","Carteret",34.67019,-76.58775,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45844",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Mullet Pond outlet, 1 mile SE of mooring pier","Carteret",34.68425,-76.63278,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45876",3,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Shackleford Slue Beach, .1 mile SE of mooring pier","Carteret",34.67887,-76.65041,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45832",4,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Shackleford Slue, between mooring pier and jetty","Carteret",34.68639,-76.64403,"NC","8/5/2003","","Castro, G Thomas, A Kennon"
"AUM","45947",29,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89933,-76.25758,"NC","7/8/2004","","R Henderson, C Knight, A Kennon"
"AUM","45992",13,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Old Drum Inlet, Cape Lookout National Seashore","Carteret",34.88067,-76.28136,"NC","7/8/2004","","C Knight, T Wilkes, M Farmer"
"AUM","45976",4,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Pamlico Sound, N end of Cape Lookout National Seashore near Portsmouth Village","Carteret",35.06515,-76.07588,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM","45960",1,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Portsmouth Inlet, N end of Cape Lookout National Seashore","Carteret",35.06505,-76.03991,"NC","7/8/2004","","E Johnston, P Cleveland, R Henderson, A Kennon"
"AUM","46003",5,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.95175,-76.19828,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45908",1,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, tidal creek, N end of Cape Lookout National Seashore","Carteret",34.97847,-76.1614,"NC","7/8/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer"
"AUM","45929",1,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Cape Lookout Bight day, S end of Cape Lookout National Seashore at Environmental Center Pier","Carteret",34.61242,-76.53033,"NC","7/9/2004","","E Johnston, P Cleveland, R Henderson, C Knight, T Wilkes, M Farmer, A Kennon"
"AUM","45935",2,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Cape Lookout Bight trawl S end of Cape Lookout National Seashore at Environmental Center Pier","Carteret",34.61539,-76.531,"NC","7/9/2004","","E Johnston, P Cleveland, R Henderson, C Knight, T Wilkes, M Farmer, A Kennon"
"AUM","45897",5,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Cape Lookout Bight, S end of Cape Lookout National Seashore at Environmental Center pier","Carteret",34.61539,-76.531,"NC","7/9/2004","","E Johnston, P Cleveland, R Henderson, C Knight, T Wilkes, M Farmer, A Kennon"
"AUM","45921",4,"Sciaenidae","Leiostomus xanthurus","North Atlantic Ocean, Long Point Ferry Landing, Core Sound, Cape Lookout National Seashore","Carteret",34.89916,-76.25769,"NC","7/9/2004","","E Johnston, P Cleveland, T Wilkes, M Farmer, R Henderson, C Knight, A Kennon"
"CUMV","6929",1,"Sciaenidae","Leiostomus xanthurus","Newport R. at Beaufort","Carteret",34.72129,-76.690981,"NC","7/28/1909","FH 13JUL29","Francis Harper"
"CUMV","73366",1,"Sciaenidae","Leiostomus xanthurus","Beaufort, near Core Cr.","Carteret",34.828433,-76.691047,"NC","7/1/1911","APJ 15JUL02","A. Jacot"
"CUMV","23534",9,"Sciaenidae","Leiostomus xanthurus","Albemarle Sound at N end of bridge at Rt. 32","Chowan",35.994288,-76.471354,"NC","8/27/1949","ECR 2413","Edward Raney;  Charles Robins;  William Woolcott"
"CUMV","28927",4,"Sciaenidae","Leiostomus xanthurus","Albermarle Sound at bridge on north side, S of Edenton","Chowan",36.047921,-76.694641,"NC","8/29/1950","ECR 2598","Edward Raney;  William Woolcott;  E. Deubler"
"CUMV","30075",22,"Sciaenidae","Leiostomus xanthurus","Bogue Sound near Atlantic Beach","Carteret",34.711279,-76.735968,"NC","3/24/1952","ECR 2760","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","30193",158,"Sciaenidae","Leiostomus xanthurus","Flanners Beach, 6 mi. N of Havelock","Craven",34.985541,-76.943926,"NC","3/24/1952","ECR 2758","Edward Raney;  Charles Robins;  Bruce Collette;  John New; et al."
"CUMV","30737",2,"Sciaenidae","Leiostomus xanthurus","White Oak R. at Peletier","Carteret",34.72139,-77.11039,"NC","6/19/1952","EED NC-71","Charles Cole;  Rudolph Miller"
"CUMV","30746",13,"Sciaenidae","Leiostomus xanthurus","White Oak R. at Swansboro (Carteret/Onslow Co. line)","Carteret",34.684528,-77.113915,"NC","6/19/1952","EED NC-73","Charles Cole;  L. Wood;  R. Miller"
"CUMV","30876",19,"Sciaenidae","Leiostomus xanthurus","Bogue Sound, 0.5 mi. SW of mouth of Peletier Cr., in mid-channel near Morehead City","Carteret",34.721939,-76.787634,"NC","7/18/1952","CFC 294","Charles Cole;  H. Porter;  A. Chestnut; et al."
"CUMV","33580",7,"Sciaenidae","Leiostomus xanthurus","Pamlico R., ±4.5 mi. SE of Wichard's Beach","Beaufort",35.462273,-76.956653,"NC","7/11/1955","EED NC-495","E. Deubler;  Brian Rothchild;  Neal Foster"
"CUMV","33616",184,"Sciaenidae","Leiostomus xanthurus","Neuse R. at mouth of Adams Cr.","Craven",34.961977,-76.685966,"NC","7/13/1955","BJR 137","Brian Rothschild; M/V Machapunga"
"CUMV","33540",1,"Sciaenidae","Leiostomus xanthurus","Pamlico Sound at mouth of Bay R.","Pamlico",35.166561,-76.535627,"NC","7/14/1955","EED NC-500","E. Deubler;  Brian Rothchild; M/V Machapunga"
"CUMV","33658",523,"Sciaenidae","Leiostomus xanthurus","Pamlico Sound at mouth of Bay R.","Pamlico",35.166561,-76.535627,"NC","7/14/1955","EED NC-500","E. Deubler;  Brian Rothchild; M/V Machapunga"
"CUMV","48069",25,"Sciaenidae","Leiostomus xanthurus","Morehead City-Bogue Sound - pier behind Morehead Biltmore","Carteret",34.725228,-76.784883,"NC","9/2/1960","TWR 059","William Kaill;  Neal Foster;  Timothy Robbins"
"CUMV","48081",5,"Sciaenidae","Leiostomus xanthurus","Shackleford Banks, N shore, 1.5 mi. from W end","Carteret",34.68555,-76.635407,"NC","9/4/1960","TWR 060","Timothy Robbins;  Neal Foster"
"FMNH","40378",1,"Sciaenidae","Leiostomus xanthurus","Bight by Duke Mess Hall, Beaufort","Carteret",34.716743,-76.673664,"NC","9/13/1941","","A. C. Weed"
"FMNH","40387",2,"Sciaenidae","Leiostomus xanthurus","Beaufort","Carteret",34.71125,-76.644043,"NC","9/16/1941","","A. C. Weed"
