"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"AMNH","79240",1,"Umbridae","Umbra pygmaea","2.0 mi south Columbus/Brunswick county line, on NC 211","Brunswick",34.189674,-78.355289,"NC","30816","PMM-84-15","P.M. Mabee & J.O. Mabee"
"AMNH","20633",1,"Umbridae","Umbra pygmaea","3.3 miles north of supply","Brunswick",34.060713,-78.293053,"NC","23625","JDA-64-IX-05","J.D. Anderson & C.H. Eigenman"
"AMNH","62724",4,"Umbridae","Umbra pygmaea","Joyce creek (tributary of pasquotank river, an effluent of dismal swamp), 0.8 miles south of tar corner, route 1224 crossing","Camden",36.466352,-76.288106,"NC","24995","R.D. ROSS-VPI-1325","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62737",8,"Umbridae","Umbra pygmaea","Juniper ditch (tributary of pasquotank river), in dismal swamp at Horseshoe","Camden",36.46022,-76.381976,"NC","24995","R.D. ROSS-VPI-1326","R.D. Ross, R.D. Ross & P.M. Brady"
"AMNH","62617",1,"Umbridae","Umbra pygmaea","Pasquotank river swamp, at route 17 bridge, 1.1 mile southwest south mills","Camden",36.433696,-76.338961,"NC","24981","R.D. ROSS-VPI-1295","R.D. Ross & P.M. Brady"
"AMNH","62607",6,"Umbridae","Umbra pygmaea","Pasquotank swamp at us route 17 bridge 1 mile north of morgans corners","Camden",36.430204,-76.340822,"NC","24980","R.D. ROSS-VPI-1293","R.D. Ross"
"AMNH","62601",7,"Umbridae","Umbra pygmaea","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","24980","R.D. ROSS-VPI-1292","R.D. Ross"
"AMNH","65181",12,"Umbridae","Umbra pygmaea","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","25326","R.D. ROSS-VPI-2209","R.D. Ross, R.D. Ross & R.S. Mitchell"
"AMNH","66889",12,"Umbridae","Umbra pygmaea","Seven bridges (a ditch in dismal swamp) 2 miles northwest South Mills on SR 1219","Camden",36.458219,-76.359391,"NC","26060","R.D. ROSS-VPI-2586","M.T. Masnik, W.M. Clay, C. Baker & J. Crossman"
"AMNH","65600",6,"Umbridae","Umbra pygmaea","Creek at SR 1100 bridge, 9.2 miles west of Croatan (Black Swamp Creek)","Craven",34.907159,-77.103899,"NC","25683","R.D. ROSS-VPI-2392","R.D. Ross, H. Zion & M.T. Masnik"
"AMNH","79238",34,"Umbridae","Umbra pygmaea","In canals around bridge just over jones county line at SR 11100","Craven",34.906596,-77.105959,"NC","31516","PMM-86-02","P.M. Mabee & A. Bornbusch"
"AMNH","248905",1,"Umbridae","Umbra pygmaea","Rhodes Pond, impoundment on Black River at US-301, 6 miles south-southwest of Dunn","Cumberland",35.224843,-78.65573,"NC","39878","ACT-GP-09-III-06a","A.C. Terceira et al."
"AMNH","62541",4,"Umbridae","Umbra pygmaea","Taylor Swamp just below Jones Mill Pond near Corapeake","Gates",36.525237,-76.577303,"NC","24969","R.D. ROSS-VPI-1282","R.D. Ross & R.D. Ross"
"AMNH","79237",9,"Umbridae","Umbra pygmaea","In canals adjacent to unmarked roads off county road 1105 (4 mi east southeast maysville)","Jones",34.883486,-77.163264,"NC","31516","PMM-86-01","P.M. Mabee & A. Bornbusch"
"AMNH","79239",1,"Umbridae","Umbra pygmaea","Quarry, ca. 1.0 mi northwest junction highway 70 and nc 751, durham","Orange",36.04309,-78.9987,"NC","31521","PMM-86-04","P.M. Mabee"
