"Institution.Source","Catalog.Number","Number.of.specimens","Family","Scientific.name","Locality","County","Latitude","Longitude","State","Date.Collected","Field.Locality.number","Collectors"
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","Chocowinity Bay","",35.44333,-77.035,"NC","040505","528230000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","North of Snow's Cut","",34.11472,-77.94861,"NC","151015","1901030200",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","318; North Landing River","",36.5,-76.033,"NC","091020","114000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","320; Tulls Bay","",36.502,-76.066,"NC","090601","114020000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","321; North Landing River","",36.52,-76.022,"NC","080926","114000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","39S; Weopim River","",36.08,-76.411,"NC","080723","206000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","56; COLER./CHOW.B./N.HOLIDAY IS.","",36.225,-76.71,"NC","100610","208000300",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","56; COLER./CHOW.B./N.HOLIDAY IS.","",36.225,-76.71,"NC","170926","208000300",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","CF11; Brunswick River","",34.23194,-77.98583,"NC","031202","1902020000",""
"NCDMF",,2,"Xenocyprididae","Ctenopharyngodon idella","CF11; Brunswick River","",34.23194,-77.98583,"NC","050322","1902020000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","CFR1; Cape Fear River, Wilmington and Above","",34.24944,-77.97333,"NC","060927","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","CFR1; Cape Fear River, Wilmington and Above","",34.24944,-77.97333,"NC","070320","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","CFR2; Smith Creek to Lane Ferry","",34.26694,-77.94722,"NC","050415","1902030100",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","CFR2; Smith Creek to Lane Ferry","",34.26694,-77.94722,"NC","060907","1902030100",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","NE42; Smith Creek to Lane Ferry","",34.33778,-77.98139,"NC","070104","1902030100",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","OW11; MTGLD L./HARR.L.-COLER./CHOW.B.","",36.125,-76.734,"NC","041026","208000200",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF2; Indian Creek, Hwy 11","",34.28111,-78.00556,"NC","030911","1902010101",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF2; Indian Creek, Hwy 11","",34.28111,-78.00556,"NC","030919","1902010101",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF2; Indian Creek, Hwy 11","",34.28111,-78.00556,"NC","040428","1902010101",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF2; Indian Creek, Hwy 11","",34.28111,-78.00556,"NC","061004","1902010101",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF2; Indian Creek, Hwy 11","",34.28111,-78.00556,"NC","061019","1902010101",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF3; Mouth Black River","",34.33806,-78.04722,"NC","040303","1902040104",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF3; Mouth Black River","",34.33806,-78.04722,"NC","040428","1902040104",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF3; Mouth Black River","",34.33806,-78.04722,"NC","050614","1902040104",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF3; Mouth Black River","",34.33806,-78.04722,"NC","070125","1902040104",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF5; Cape Fear River, Wilmington and Above","",34.3675,-78.12972,"NC","041018","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF5; Cape Fear River, Wilmington and Above","",34.3675,-78.12972,"NC","060912","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF5; Cape Fear River, Wilmington and Above","",34.3675,-78.12972,"NC","060921","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF5; Cape Fear River, Wilmington and Above","",34.3675,-78.12972,"NC","070222","1902000000",""
"NCDMF",,2,"Xenocyprididae","Ctenopharyngodon idella","UCF6; Cape Fear River, Wilmington and Above","",34.40694,-78.27833,"NC","041207","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF6; Cape Fear River, Wilmington and Above","",34.40694,-78.27833,"NC","051018","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF6; Cape Fear River, Wilmington and Above","",34.40694,-78.27833,"NC","051209","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF6; Cape Fear River, Wilmington and Above","",34.40694,-78.27833,"NC","060627","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF6; Cape Fear River, Wilmington and Above","",34.40694,-78.27833,"NC","060921","1902000000",""
"NCDMF",,1,"Xenocyprididae","Ctenopharyngodon idella","UCF7; Black River, below Hwy 210","",34.37333,-78.07833,"NC","050708","1902040100",""
"NCDWR",,1,"Xenocyprididae","Ctenopharyngodon idella","Perry Cr, SR 2006","Wake",35.8797222222222,-78.5477777777778,"NC","38517","2005-70",""
"NCSM",34664,1,"Xenocyprididae","Ctenopharyngodon idella","Neuse River near Roger's Lane boat ramp, [ca. 3.7 air miles SW center Knightdale]","Wake",35.7664,-78.5401000976562,"North Carolina","04 March 2003","FISH8-0246","S. Michelle Burdick, JE Hightower"
"NCSM",76391,1,"Xenocyprididae","Ctenopharyngodon idella","Summerlins Pond, [ca. 11.3 kilometers WNW center Wilmington]","Brunswick",34.26116,-78.0603408813477,"North Carolina","07 June 1998","FISH8-2701","DW Stowell"
